         2232065 function calls (2223159 primitive calls) in 32.806 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.319    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:383(api_request)
        2    0.000    0.000    0.318    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:276(_make_request)
        2    0.000    0.000    0.318    0.159 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:345(_do_request)
      450    0.000    0.000    0.314    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:812(generate)
      450    0.001    0.000    0.314    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:607(stream)
       38    0.001    0.000    0.311    0.008 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/download.py:81(_write_to_stream)
      328    0.002    0.000    0.304    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:535(read)
      328    0.000    0.000    0.298    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:487(_fp_read)
      328    0.001    0.000    0.297    0.001 /home/lucas/anaconda3/lib/python3.11/http/client.py:450(read)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:2837(upload_from_filename)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:2813(_handle_filename_and_upload)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:2479(_prep_and_do_upload)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:2303(_do_upload)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:1786(_do_multipart_upload)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/upload.py:107(transmit)
        1    0.000    0.000    0.292    0.292 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/requests/upload.py:144(retriable_request)
       40    0.000    0.000    0.274    0.007 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:814(read_csv)
       40    0.001    0.000    0.273    0.007 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:540(_read)
       40    0.000    0.000    0.247    0.006 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1688(read)
    11209    0.025    0.000    0.144    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:3713(__getitem__)
      116    0.001    0.000    0.130    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:641(__init__)
       59    0.001    0.000    0.128    0.002 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/construction.py:411(dict_to_mgr)
       40    0.000    0.000    0.120    0.003 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
       59    0.001    0.000    0.101    0.002 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/construction.py:97(arrays_to_mgr)
    11209    0.010    0.000    0.086    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:4243(_get_item_cache)
       81    0.001    0.000    0.073    0.001 /home/lucas/anaconda3/lib/python3.11/socket.py:945(getaddrinfo)
349475/349355    0.041    0.000    0.073    0.000 {built-in method builtins.isinstance}
       82    0.000    0.000    0.071    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:751(merge_environment_settings)
    22004    0.007    0.000    0.071    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/series.py:759(array)
       81    0.070    0.001    0.070    0.001 {built-in method _socket.getaddrinfo}
       82    0.000    0.000    0.069    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:824(get_environ_proxies)
     3303    0.004    0.000    0.069    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:3639(_ixs)
      164    0.009    0.000    0.067    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/request.py:2499(getproxies_environment)
       59    0.000    0.000    0.066    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2119(create_block_manager_from_column_arrays)
    22004    0.010    0.000    0.064    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2015(array_values)
       40    0.007    0.000    0.064    0.002 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:368(_concatenate_chunks)
    31397    0.011    0.000    0.059    0.000 <frozen _collections_abc>:859(__iter__)
    11054    0.012    0.000    0.055    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_dtype.py:34(__str__)
       40    0.033    0.001    0.054    0.001 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
3711/3631    0.007    0.000    0.053    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/series.py:368(__init__)
    22004    0.009    0.000    0.053    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2105(array_values)
    13137    0.017    0.000    0.048    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_dtype.py:344(_name_get)
       59    0.006    0.000    0.048    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2191(_form_blocks)
       80    0.001    0.000    0.046    0.001 /home/lucas/anaconda3/lib/python3.11/subprocess.py:807(__init__)
       20    0.020    0.001    0.045    0.002 {built-in method duckdb.duckdb.execute}
    22004    0.021    0.000    0.045    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/numpy_.py:79(__init__)
       80    0.002    0.000    0.043    0.001 /home/lucas/anaconda3/lib/python3.11/subprocess.py:1789(_execute_child)
    11002    0.015    0.000    0.042    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/base.py:431(to_numpy)
       73    0.000    0.000    0.041    0.001 /home/lucas/anaconda3/lib/python3.11/weakref.py:585(__call__)
       73    0.033    0.000    0.040    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:1129(_close_pool_connections)
    78/45    0.001    0.000    0.039    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/runtime/metrics_util.py:356(wrapped_func)
     3827    0.011    0.000    0.039    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/construction.py:494(sanitize_array)
    30725    0.016    0.000    0.038    0.000 <frozen os>:674(__getitem__)
       82    0.001    0.000    0.037    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:764(should_bypass_proxies)
     3303    0.004    0.000    0.036    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:4226(_box_col_values)
     3284    0.010    0.000    0.034    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:33(concat_compat)
       82    0.000    0.000    0.034    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/request.py:2530(proxy_bypass_environment)
       59    0.003    0.000    0.034    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/construction.py:574(_homogenize)
       82    0.001    0.000    0.034    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:459(prepare_request)
       80    0.032    0.000    0.032    0.000 {built-in method _posixsubprocess.fork_exec}
       81    0.001    0.000    0.027    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/ssl_.py:250(create_urllib3_context)
    13137    0.006    0.000    0.025    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_dtype.py:330(_name_includes_bit_suffix)
       40    0.000    0.000    0.025    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1362(__init__)
      248    0.001    0.000    0.024    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:6130(dtypes)
       40    0.001    0.000    0.023    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1629(_make_engine)
       82    0.000    0.000    0.021    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:352(prepare)
1742/1734    0.020    0.000    0.020    0.000 {built-in method __new__ of type object at 0x860f60}
       82    0.001    0.000    0.020    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:224(parse_headers)
       81    0.000    0.000    0.020    0.000 /home/lucas/anaconda3/lib/python3.11/ssl.py:492(__new__)
       82    0.000    0.000    0.019    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/adapters.py:331(get_connection)
    43551    0.009    0.000    0.019    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
