,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
271,Saben Lee,PG,24,PHO,13,100,.419,9.0,,.742,.387,.355,.000,.000,.258,,.565,.667,.455,,,.000,,.462,,,.129,2,,.375,.000,,0,0,leesa01
272,Alex Len,C,30,SAC,22,183,.639,5.4,,.917,.528,.333,.028,.028,.083,,.697,.842,.500,.000,1.000,.000,,.609,,,.306,8,,.333,.000,,0,0,lenal01
273,Kawhi Leonard,SF,32,LAC,48,1647,.527,14.1,,.699,.162,.202,.246,.088,.301,,.558,.797,.518,.505,.361,.453,,.453,.661,,.074,55,,.182,.511,,0,0,leonaka01
274,Caris LeVert,SG,29,CLE,43,1180,.424,14.0,,.589,.236,.219,.118,.017,.411,,.486,.635,.376,.397,.444,.336,,.366,.730,,.036,18,,.168,.351,,1,0,leverca01
275,Kira Lewis Jr.,PG,22,TOT,18,151,.302,13.2,,.604,.358,.170,.019,.057,.396,,.438,.579,.222,1.000,.000,.095,,.500,1.000,,.019,1,,.190,.000,,0,0,lewiski01
276,Maxwell Lewis,SF,21,LAL,19,69,.250,9.8,,.750,.333,.250,.083,.083,.250,,.222,.250,.333,.000,.000,.333,,.500,1.000,,.083,0,,.000,,,0,0,lewisma05
277,E.J. Liddell,PF,23,NOP,8,23,.167,22.1,,.167,.167,.000,.000,.000,.833,,1.000,1.000,,,,.000,,1.000,,,.167,1,,.000,,,0,0,liddeej01
278,Damian Lillard,PG,33,MIL,50,1747,.425,17.0,,.514,.200,.149,.076,.089,.486,,.501,.671,.349,.394,.468,.344,,.220,.538,,.013,7,,.069,.241,,5,0,lillada01
279,Nassir Little,SF,23,PHO,32,419,.457,15.9,,.438,.238,.162,.029,.010,.562,,.652,.760,.588,.333,.000,.305,,.800,1.000,,.105,11,,.356,.286,,0,0,littlna01
280,Dereck Lively II,C,19,DAL,37,952,.736,2.6,,.990,.707,.274,.005,.005,.010,,.743,.823,.544,.000,1.000,.000,,.810,,,.534,99,,1.000,.000,,0,0,livelde01
281,Isaiah Livers,PF,25,DET,23,469,.345,19.2,,.336,.155,.086,.017,.078,.664,,.462,.667,.300,.000,.333,.286,,.778,1.000,,.034,4,,.364,.286,,1,0,liveris01
282,Chris Livingston,SF,20,MIL,15,62,.500,4.7,,.929,.571,.357,.000,.000,.071,,.462,.500,.400,,,1.000,,.500,1.000,,.000,0,,1.000,1.000,,0,0,livinch01
283,Kenneth Lofton Jr.,PF,21,TOT,17,108,.349,13.2,,.721,.209,.209,.209,.093,.279,,.387,.667,.444,.222,.000,.250,,.583,1.000,,.070,3,,.083,.000,,0,0,loftoke01
284,Kevon Looney,C,27,GSW,52,947,.612,3.9,,.994,.489,.455,.028,.022,.006,,.616,.678,.568,.400,.500,.000,,.661,,,.129,19,,.000,,,1,0,looneke01
285,Brook Lopez,C,35,MIL,52,1636,.487,16.0,,.492,.261,.126,.080,.025,.508,,.632,.781,.439,.452,.615,.346,,.730,1.000,,.061,31,,.169,.400,,0,0,lopezbr01
286,Robin Lopez,C,35,MIL,16,65,.368,14.2,,.579,.000,.579,.000,.000,.421,,.455,,.455,,,.250,,.800,1.000,,.000,0,,.625,.400,,0,0,lopezro01
287,Kevin Love,PF,35,MIA,44,776,.440,19.8,,.299,.134,.116,.014,.035,.701,,.659,.842,.545,.750,.300,.347,,.589,.986,,.000,0,,.126,.240,,0,0,loveke01
288,Kyle Lowry,PG,37,MIA,37,1037,.426,19.6,,.335,.116,.124,.062,.033,.665,,.506,.607,.500,.200,.750,.385,,.488,.823,,.000,0,,.224,.472,,2,0,lowryky01
289,Seth Lundy,SF,23,ATL,9,52,.235,21.1,,.235,.059,.118,.000,.059,.765,,.250,.000,.000,,1.000,.231,,1.000,1.000,,.000,0,,.308,.250,,0,0,lundyse01
290,Trey Lyles,PF,28,SAC,39,782,.463,19.7,,.269,.181,.056,.014,.019,.731,,.621,.769,.333,.667,.000,.405,,.722,1.000,,.023,4,,.392,.435,,2,0,lylestr01
291,Théo Maledon,PG,22,TOT,15,211,.290,15.2,,.565,.203,.232,.087,.043,.435,,.385,.571,.313,.333,.000,.167,,.600,1.000,,.000,0,,.233,.286,,2,0,maledth01
292,Sandro Mamukelashvili,C,24,SAS,30,196,.409,15.4,,.485,.273,.167,.045,.000,.515,,.594,.556,.636,.667,,.235,,.579,1.000,,.091,4,,.265,.222,,1,0,mamuksa01
293,Terance Mann,SG,27,LAC,47,1172,.460,14.1,,.543,.278,.165,.082,.017,.457,,.595,.827,.333,.417,.200,.301,,.649,.950,,.096,24,,.526,.300,,1,0,mannte01
294,Tre Mann,PG,22,TOT,16,210,.480,14.9,,.573,.253,.160,.093,.067,.427,,.512,.684,.333,.286,.600,.438,,.318,.786,,.027,2,,.156,.600,,0,0,manntr01
295,Boban Marjanović,C,35,HOU,9,48,.476,7.6,,.905,.286,.476,.095,.048,.095,,.526,.833,.400,.500,.000,.000,,.600,,,.190,4,,.000,,,0,0,marjabo01
296,Lauri Markkanen,PF,26,UTA,45,1473,.499,15.8,,.501,.176,.231,.064,.031,.499,,.593,.780,.512,.435,.455,.404,,.748,.979,,.094,63,,.192,.420,,1,0,markkla01
297,Naji Marshall,SF,26,NOP,44,815,.460,13.7,,.611,.226,.274,.083,.028,.389,,.513,.667,.420,.476,.286,.378,,.570,.946,,.036,8,,.541,.434,,5,1,marshna01
298,Caleb Martin,SF,28,MIA,38,1009,.451,13.7,,.632,.236,.233,.077,.086,.368,,.510,.597,.487,.320,.500,.350,,.581,.881,,.046,13,,.350,.357,,2,0,martica02
299,Cody Martin,SF,28,CHO,22,579,.391,14.5,,.615,.237,.154,.101,.124,.385,,.423,.625,.385,.412,.095,.338,,.364,.727,,.041,5,,.385,.360,,0,0,martico01
300,KJ Martin,SF,23,TOT,40,446,.546,6.4,,.815,.602,.213,.000,.000,.185,,.614,.692,.391,,,.250,,.833,1.000,,.250,23,,.700,.357,,0,0,martike04
301,Garrison Mathews,SG,27,ATL,39,491,.455,24.0,,.081,.030,.010,.020,.020,.919,,.625,.667,.000,.500,1.000,.440,,.800,.975,,.000,0,,.308,.393,,0,0,mathega01
302,Bennedict Mathurin,SF,21,IND,52,1325,.450,12.1,,.692,.285,.253,.095,.060,.308,,.487,.586,.410,.444,.412,.366,,.599,.734,,.030,15,,.114,.450,,0,0,mathube01
303,Wesley Matthews,SG,37,ATL,21,232,.283,21.4,,.217,.109,.022,.065,.022,.783,,.400,.600,.000,.333,.000,.250,,1.000,1.000,,.000,0,,.417,.400,,0,0,matthwe02
304,Tyrese Maxey,PG,23,PHI,49,1824,.449,14.5,,.596,.231,.233,.091,.041,.404,,.497,.671,.388,.382,.400,.378,,.356,.631,,.006,6,,.063,.640,,1,0,maxeyty01
305,Skylar Mays,PG-SG,26,TOT,29,412,.390,13.6,,.649,.208,.247,.149,.045,.351,,.440,.406,.447,.391,.714,.296,,.273,.875,,.032,3,,.148,.250,,0,0,mayssk01
306,Miles McBride,PG,23,NYK,42,522,.433,17.5,,.433,.163,.077,.120,.072,.567,,.467,.676,.500,.360,.133,.407,,.310,.833,,.029,5,,.356,.476,,0,0,mcbrimi01
307,CJ McCollum,PG,32,NOP,41,1315,.461,17.9,,.458,.097,.186,.115,.061,.542,,.509,.593,.496,.486,.459,.421,,.394,.755,,.002,1,,.106,.457,,0,0,mccolcj01
308,T.J. McConnell,PG,31,IND,45,780,.536,8.3,,.938,.250,.406,.266,.016,.062,,.561,.714,.560,.427,.400,.158,,.278,1.000,,.000,0,,.211,.250,,1,0,mccontj01
309,Jaden McDaniels,SF,23,MIN,44,1263,.504,13.5,,.604,.235,.219,.113,.037,.396,,.598,.753,.506,.558,.286,.360,,.555,.981,,.082,24,,.607,.407,,2,0,mcdanja02
310,Jalen McDaniels,SF,26,TOR,33,295,.333,15.4,,.495,.152,.286,.038,.019,.505,,.462,.625,.433,.250,.000,.208,,.792,.909,,.038,4,,.302,.375,,0,0,mcdanja01
311,Doug McDermott,SF,32,TOT,49,738,.431,21.8,,.194,.112,.030,.022,.030,.806,,.467,.577,.143,.400,.429,.422,,.905,.975,,.022,5,,.219,.415,,0,0,mcderdo01
312,JaVale McGee,C,36,SAC,39,310,.629,4.5,,.966,.500,.422,.034,.009,.034,,.652,.793,.551,.000,.000,.000,,.795,,,.310,33,,.000,,,0,0,mcgeeja01
313,Bryce McGowens,SG,21,CHO,43,704,.459,14.3,,.536,.271,.204,.022,.039,.464,,.546,.633,.486,.500,.286,.357,,.434,.967,,.033,6,,.381,.469,,0,0,mcgowbr01
314,Jordan McLaughlin,PG,27,MIN,32,286,.400,15.9,,.440,.227,.160,.040,.013,.560,,.394,.471,.333,.000,1.000,.405,,.769,.941,,.000,0,,.548,.348,,1,1,mclaujo01
315,De'Anthony Melton,SG,25,PHI,33,959,.393,17.4,,.412,.189,.149,.034,.040,.588,,.437,.548,.367,.273,.308,.363,,.458,.800,,.030,10,,.181,.343,,0,0,meltode01
316,Nathan Mensah,C,25,CHO,25,307,.429,4.0,,1.000,.393,.607,.000,.000,.000,,.429,.545,.353,,,,,.667,,,.107,3,,,,,0,0,mensana01
317,Sam Merrill,SG,27,CLE,37,577,.439,22.8,,.136,.070,.048,.013,.004,.864,,.419,.500,.455,.000,.000,.442,,.769,.954,,.000,0,,.193,.526,,0,0,merrisa01
318,Chimezie Metu,C,26,PHO,37,447,.508,12.2,,.608,.385,.162,.038,.023,.392,,.646,.820,.333,.400,.333,.294,,.824,1.000,,.192,23,,.294,.467,,0,0,metuch01
319,Vasilije Micić,PG,30,TOT,33,428,.431,14.8,,.552,.276,.155,.052,.069,.448,,.563,.813,.222,.500,.375,.269,,.500,.786,,.009,1,,.135,.143,,0,0,micicva01
320,Khris Middleton,SF,32,MIL,43,1129,.487,16.6,,.612,.111,.149,.187,.165,.388,,.556,.673,.500,.516,.573,.378,,.361,.740,,.006,2,,.202,.385,,0,0,middlkh01
321,Brandon Miller,SF,21,CHO,48,1508,.444,16.2,,.567,.152,.187,.163,.064,.433,,.488,.637,.400,.450,.488,.386,,.486,.938,,.040,25,,.190,.400,,4,0,millebr02
322,Jordan Miller,SF,24,LAC,5,21,.667,9.5,,.833,.500,.000,.167,.167,.167,,.600,1.000,,.000,.000,1.000,,.000,1.000,,.333,2,,1.000,1.000,,0,0,millejo02
323,Leonard Miller,SF,20,MIN,6,21,.700,10.6,,.700,.600,.000,.000,.100,.300,,.857,.833,,,1.000,.333,,.833,1.000,,.000,0,,.000,,,0,0,millele01
324,Dariq Whitehead,SF,19,BRK,2,24,.200,17.6,,.400,.000,.400,.000,.000,.600,,.500,,.500,,,.000,,1.000,,,.000,0,,.333,.000,,0,0,whiteda01
325,Patty Mills,PG,35,ATL,19,202,.373,20.4,,.333,.039,.118,.078,.098,.667,,.353,.500,.167,.500,.400,.382,,.667,1.000,,.000,0,,.412,.500,,0,0,millspa02
326,Shake Milton,SG,27,TOT,41,544,.402,13.2,,.668,.207,.228,.212,.022,.332,,.463,.658,.310,.410,.750,.279,,.614,.941,,.000,0,,.393,.417,,1,0,miltosh01
327,Justin Minaya,SF,24,POR,16,140,.273,17.2,,.364,.318,.000,.045,.000,.636,,.375,.429,,.000,,.214,,.333,.667,,.045,1,,.071,.000,,0,0,minayju01
328,Josh Minott,SF,21,MIN,18,56,.476,9.2,,.714,.381,.333,.000,.000,.286,,.600,.875,.286,,,.167,,.556,1.000,,.048,1,,.333,.000,,0,0,minotjo01
329,Davion Mitchell,PG,25,SAC,44,579,.403,15.7,,.491,.170,.214,.069,.038,.509,,.500,.667,.382,.364,.667,.309,,.436,.960,,.000,0,,.259,.429,,0,0,mitchda01
330,Donovan Mitchell,SG,27,CLE,44,1560,.473,16.1,,.562,.227,.131,.103,.101,.438,,.560,.712,.442,.442,.495,.361,,.249,.524,,.022,17,,.045,.333,,1,0,mitchdo01
331,Evan Mobley,PF,22,CLE,30,937,.587,5.9,,.929,.510,.304,.083,.032,.071,,.600,.775,.398,.429,.182,.417,,.741,1.000,,.251,83,,.458,.273,,0,0,mobleev01
332,Isaiah Mobley,PF,24,CLE,3,14,.500,14.7,,.500,.250,.250,.000,.000,.500,,.500,1.000,.000,,,.500,,.000,1.000,,.000,0,,.500,.000,,0,0,mobleis01
333,Malik Monk,SG,25,SAC,53,1370,.449,16.4,,.492,.191,.173,.083,.045,.508,,.524,.622,.435,.462,.571,.375,,.478,.807,,.042,24,,.139,.455,,0,0,monkma01
334,Moses Moody,SG,21,GSW,39,676,.466,15.4,,.522,.165,.253,.064,.040,.478,,.577,.707,.540,.500,.400,.345,,.573,.878,,.040,7,,.286,.235,,0,0,moodymo01
335,Xavier Moon,SG,29,LAC,2,12,.500,15.2,,.500,.000,.500,.000,.000,.500,,1.000,,1.000,,,.000,,.000,,,.000,0,,.000,,,0,0,moonxa01
336,Taze Moore,SG,25,POR,3,10,.600,11.1,,.600,.600,.000,.000,.000,.400,,1.000,1.000,,,,.000,,.000,,,.200,1,,.500,.000,,0,0,mooreta02
337,Wendell Moore Jr.,SG,22,MIN,14,44,.500,13.1,,.600,.300,.100,.200,.000,.400,,.833,1.000,1.000,.500,,.000,,.400,,,.100,1,,.500,.000,,0,0,moorewe01
338,Ja Morant,PG,24,MEM,9,318,.471,11.9,,.700,.288,.288,.088,.035,.300,,.555,.714,.490,.267,.500,.275,,.288,.500,,.047,6,,.098,.200,,0,0,moranja01
339,Marcus Morris,PF,34,PHI,37,637,.439,17.8,,.561,.093,.122,.161,.185,.439,,.470,.684,.320,.545,.395,.400,,.444,.972,,.010,2,,.267,.375,,0,0,morrima03
340,Markieff Morris,PF,34,DAL,17,156,.327,19.8,,.388,.061,.102,.122,.102,.612,,.316,.333,.400,.333,.200,.333,,.667,1.000,,.000,0,,.333,.500,,0,0,morrima02
341,Monte Morris,PG,28,TOT,8,98,.341,18.3,,.610,.122,.146,.195,.146,.390,,.440,.400,.500,.500,.333,.188,,.273,.333,,.000,0,,.250,.000,,2,0,morrimo01
342,Trey Murphy III,SF,23,NOP,30,773,.435,20.2,,.293,.143,.095,.037,.017,.707,,.616,.857,.393,.364,.400,.361,,.736,.907,,.058,16,,.216,.378,,1,0,murphtr02
343,Dejounte Murray,SG,27,ATL,52,1820,.463,14.3,,.644,.190,.197,.178,.080,.356,,.518,.569,.497,.479,.534,.364,,.301,.714,,.011,8,,.254,.386,,1,0,murrade01
344,Jamal Murray,PG,26,DEN,40,1258,.468,15.7,,.641,.152,.164,.166,.160,.359,,.500,.640,.472,.431,.467,.411,,.346,.567,,.015,10,,.097,.261,,2,0,murraja01
345,Keegan Murray,SF,23,SAC,50,1625,.459,16.8,,.493,.150,.161,.111,.072,.507,,.571,.728,.596,.471,.341,.350,,.751,.963,,.083,46,,.254,.291,,0,0,murrake02
346,Kris Murray,SF,23,POR,33,434,.407,13.5,,.504,.372,.097,.035,.000,.496,,.491,.548,.273,.500,,.321,,.500,1.000,,.071,7,,.464,.346,,0,0,murrakr01
347,Mike Muscala,C,32,TOT,37,509,.358,18.8,,.366,.142,.104,.067,.052,.634,,.429,.579,.286,.333,.429,.318,,.667,1.000,,.022,2,,.247,.429,,0,0,muscami01
348,Svi Mykhailiuk,SF,26,BOS,23,181,.338,21.8,,.200,.123,.015,.046,.015,.800,,.462,.625,.000,.333,.000,.308,,.667,.938,,.046,1,,.212,.364,,0,0,mykhasv01
349,Larry Nance Jr.,C,31,NOP,37,686,.569,11.2,,.679,.380,.234,.058,.007,.321,,.624,.712,.531,.375,1.000,.455,,.828,.950,,.204,23,,.455,.500,,3,0,nancela02
350,Pete Nance,PF,23,CLE,2,4,.000,6.4,,1.000,.500,.000,.500,.000,.000,,.000,.000,,.000,,,,,,,.000,0,,,,,0,0,nancepe01
351,Andrew Nembhard,PG,24,IND,42,960,.492,13.5,,.712,.183,.235,.201,.093,.288,,.552,.695,.474,.554,.467,.344,,.378,.906,,.003,1,,.215,.500,,0,0,nembhan01
352,Aaron Nesmith,SF,24,IND,51,1381,.519,15.0,,.472,.269,.150,.044,.009,.528,,.593,.689,.456,.450,.750,.452,,.677,.981,,.057,24,,.439,.495,,0,0,nesmiaa01
353,Georges Niang,PF,30,CLE,53,1152,.432,17.8,,.378,.120,.199,.052,.007,.622,,.565,.694,.481,.619,.333,.352,,.678,.978,,.000,0,,.332,.286,,0,0,niangge01
354,Daishen Nix,PG,21,MIN,9,30,.375,18.8,,.313,.125,.188,.000,.000,.688,,.400,1.000,.000,,,.364,,.500,.500,,.063,1,,.182,.000,,0,0,nixda01
355,Zeke Nnaji,PF,23,DEN,40,383,.439,6.3,,.832,.579,.215,.028,.009,.168,,.472,.548,.348,.000,.000,.278,,.571,1.000,,.140,13,,.389,.286,,0,0,nnajize01
356,Jaylen Nowell,SG,24,MEM,9,156,.400,17.3,,.582,.036,.255,.164,.127,.418,,.563,.500,.429,.667,.714,.174,,.444,1.000,,.000,0,,.174,.250,,1,0,nowelja01
357,Markquis Nowell,SG,24,TOR,1,4,.000,9.5,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,nowelma01
358,Frank Ntilikina,PG,25,CHO,5,43,.111,24.2,,.111,.000,.000,.000,.111,.889,,.000,,,,.000,.125,,,1.000,,.000,0,,.375,.000,,0,0,ntilila01
359,Jusuf Nurkić,C,29,PHO,52,1416,.519,7.5,,.816,.470,.300,.031,.015,.184,,.579,.647,.489,.571,.286,.250,,.634,1.000,,.096,37,,.095,.125,,0,0,nurkiju01
360,Jordan Nwora,SF,25,TOT,28,307,.441,14.5,,.543,.307,.157,.039,.039,.457,,.522,.615,.450,.400,.200,.345,,.639,.850,,.063,7,,.241,.429,,1,0,nworajo01
361,Royce O'Neale,SF,30,TOT,52,1267,.390,22.6,,.185,.097,.065,.021,.003,.815,,.476,.545,.364,.571,.000,.371,,.700,.922,,.012,3,,.158,.455,,6,0,onealro01
362,Chuma Okeke,SF,25,ORL,33,381,.384,20.1,,.273,.111,.111,.020,.030,.727,,.556,.909,.364,.000,.333,.319,,.800,.957,,.051,4,,.319,.391,,1,0,okekech01
363,Josh Okogie,SG,25,PHO,49,862,.415,12.6,,.546,.350,.164,.027,.005,.454,,.520,.578,.400,.600,.000,.289,,.615,1.000,,.071,12,,.663,.309,,0,0,okogijo01
364,Onyeka Okongwu,C,23,ATL,53,1367,.610,6.7,,.815,.564,.234,.011,.006,.185,,.671,.737,.524,.250,1.000,.338,,.776,1.000,,.248,77,,.754,.429,,1,0,okongon01
365,Isaac Okoro,SF,23,CLE,44,1153,.493,11.4,,.594,.427,.153,.010,.003,.406,,.561,.610,.455,.000,1.000,.393,,.781,1.000,,.049,12,,.650,.421,,0,0,okorois01
366,Kelly Olynyk,C,32,TOT,53,1069,.556,11.9,,.674,.305,.258,.057,.054,.326,,.622,.753,.583,.313,.400,.418,,.479,.974,,.014,4,,.209,.421,,0,0,olynyke01
367,Eugene Omoruyi,SF,26,WAS,24,170,.506,9.8,,.728,.432,.259,.012,.025,.272,,.593,.714,.429,.000,.500,.273,,.600,1.000,,.074,6,,.136,.000,,0,0,omorueu01
368,Cedi Osman,SF,28,SAS,55,989,.474,16.7,,.428,.219,.154,.039,.016,.572,,.603,.776,.468,.167,.600,.377,,.709,.970,,.003,1,,.234,.415,,0,0,osmande01
369,Kelly Oubre Jr.,SF,28,PHI,42,1218,.461,12.8,,.600,.323,.208,.052,.017,.400,,.556,.714,.354,.440,.375,.319,,.560,.852,,.122,49,,.298,.351,,0,0,oubreke01
370,Chris Paul,PG,38,GSW,32,882,.424,19.6,,.514,.016,.098,.212,.188,.486,,.484,1.000,.542,.519,.370,.361,,.230,.698,,.000,0,,.160,.316,,2,0,paulch01
371,Cameron Payne,PG,29,TOT,51,805,.441,18.4,,.426,.122,.156,.106,.042,.574,,.527,.531,.512,.536,.545,.377,,.390,.842,,.000,0,,.159,.292,,1,0,payneca01
372,Gary Payton II,SG,31,GSW,19,305,.511,11.2,,.611,.344,.267,.000,.000,.389,,.636,.710,.542,,,.314,,.829,1.000,,.111,8,,.657,.261,,0,0,paytoga02
373,Drew Peterson,PF,24,BOS,1,3,1.000,26.3,,.000,.000,.000,.000,.000,1.000,,,,,,,1.000,,,1.000,,.000,0,,.000,,,0,0,peterdr01
374,Filip Petrušev,C,23,TOT,3,10,.500,12.4,,1.000,.000,.000,1.000,.000,.000,,.500,,,.500,,,,1.000,,,.000,0,,,,,0,0,petrufi01
375,Julian Phillips,SF,20,CHI,30,198,.400,14.3,,.489,.333,.111,.022,.022,.511,,.591,.533,.800,1.000,.000,.217,,.769,1.000,,.111,4,,.435,.400,,0,0,phillju01
376,Jalen Pickett,SG,24,DEN,16,97,.429,22.4,,.286,.036,.071,.071,.107,.714,,.625,1.000,.500,.500,.667,.350,,.400,.714,,.000,0,,.000,,,1,0,pickeja02
377,Scotty Pippen Jr.,PG,23,MEM,8,181,.475,13.5,,.610,.271,.203,.102,.034,.390,,.417,.438,.417,.333,.500,.565,,.333,.846,,.000,0,,.087,1.000,,0,0,pippesc02
378,Mason Plumlee,C,33,LAC,23,405,.655,2.7,,1.000,.595,.405,.000,.000,.000,,.655,.760,.500,,,,,.764,,,.321,25,,,,,0,0,plumlma01
379,Brandin Podziemski,SG,20,GSW,46,1209,.465,13.5,,.615,.207,.323,.057,.028,.385,,.517,.725,.464,.182,.273,.383,,.512,.737,,.005,2,,.201,.467,,1,0,podzibr01
380,Jakob Poeltl,C,28,TOR,44,1177,.675,3.8,,1.000,.553,.353,.094,.000,.000,,.675,.814,.504,.500,,,,.819,,,.081,24,,,,,0,0,poeltja01
381,Aleksej Pokusevski,PF,22,OKC,10,60,.250,19.3,,.313,.063,.188,.000,.063,.688,,.400,1.000,.333,,.000,.182,,.500,1.000,,.000,0,,.455,.000,,0,0,pokusal01
382,Jordan Poole,SG,24,WAS,52,1520,.400,16.5,,.544,.170,.181,.129,.064,.456,,.481,.718,.386,.340,.404,.303,,.508,.673,,.011,8,,.126,.333,,1,0,poolejo01
383,Craig Porter Jr.,PG,23,CLE,32,469,.509,9.7,,.873,.327,.248,.212,.085,.127,,.535,.648,.488,.429,.500,.333,,.351,.857,,.024,3,,.190,.250,,1,0,portecr01
384,Jontay Porter,PF,24,TOR,17,221,.371,15.4,,.471,.286,.100,.071,.014,.529,,.424,.500,.429,.000,1.000,.324,,.714,1.000,,.057,2,,.108,.500,,0,0,portejo01
385,Michael Porter Jr.,SF,25,DEN,54,1709,.470,17.9,,.473,.162,.102,.075,.134,.527,,.556,.746,.403,.453,.500,.394,,.751,.952,,.045,27,,.197,.466,,1,0,portemi01
386,Otto Porter Jr.,SF,30,TOR,15,174,.424,18.9,,.303,.182,.030,.091,.000,.697,,.600,.500,1.000,.667,,.348,,1.000,.875,,.030,0,,.391,.444,,0,0,porteot01
387,Bobby Portis,PF,28,MIL,55,1318,.492,12.9,,.704,.210,.238,.173,.083,.296,,.539,.765,.467,.459,.340,.381,,.488,1.000,,.021,10,,.476,.413,,0,0,portibo01
388,Kristaps Porziņģis,C,28,BOS,40,1181,.531,14.6,,.607,.250,.186,.113,.059,.393,,.637,.805,.568,.517,.367,.368,,.712,.986,,.143,66,,.025,.000,,1,0,porzikr01
389,Micah Potter,PF,25,UTA,2,7,.000,25.8,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,pottemi01
390,Dwight Powell,C,32,DAL,47,726,.705,2.2,,.979,.832,.147,.000,.000,.021,,.710,.772,.357,,,.500,,.652,1.000,,.242,18,,1.000,.500,,0,0,poweldw01
391,Norman Powell,SG,30,LAC,53,1336,.495,16.1,,.517,.132,.237,.091,.057,.483,,.534,.701,.525,.413,.379,.453,,.671,.919,,.022,9,,.327,.563,,1,0,powelno01
392,Jason Preston,PG,24,UTA,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,prestja01
393,Joshua Primo,SG,21,LAC,1,5,.500,13.8,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,1.000,,,.000,0,,.000,,,0,0,primojo01
394,Taurean Prince,PF,29,LAL,53,1594,.439,18.1,,.355,.134,.146,.053,.022,.645,,.527,.679,.443,.455,.333,.390,,.872,.933,,.014,5,,.435,.368,,2,0,princta02
395,Payton Pritchard,PG,26,BOS,55,1138,.435,20.4,,.324,.103,.103,.059,.059,.676,,.550,.684,.500,.545,.409,.380,,.394,.842,,.000,0,,.236,.390,,3,1,pritcpa01
396,Olivier-Maxence Prosper,PF,21,DAL,30,255,.352,12.8,,.535,.380,.127,.028,.000,.465,,.447,.556,.222,.000,,.242,,.647,1.000,,.085,6,,.485,.188,,0,0,prospol01
397,Trevelin Queen,SG,26,ORL,13,163,.368,14.0,,.553,.237,.211,.053,.053,.447,,.524,.778,.375,.000,.500,.176,,.727,.667,,.132,5,,.353,.167,,0,0,queentr01
398,Neemias Queta,C,24,BOS,23,283,.613,3.1,,1.000,.588,.350,.063,.000,.000,,.613,.745,.429,.400,,,,.694,,,.263,20,,,,,0,0,quetane01
399,Immanuel Quickley,SG-PG,24,TOT,50,1361,.430,16.8,,.524,.099,.225,.143,.057,.476,,.458,.617,.401,.483,.343,.400,,.418,.741,,.003,2,,.221,.281,,0,0,quickim01
400,Lester Quinones,SG,23,GSW,18,228,.387,18.8,,.387,.133,.133,.120,.000,.613,,.379,.500,.300,.333,,.391,,.273,.944,,.013,1,,.196,.556,,1,1,quinole01
401,Julius Randle,PF,29,NYK,46,1630,.472,11.7,,.708,.266,.291,.115,.037,.292,,.539,.689,.469,.406,.419,.311,,.423,.868,,.032,24,,.148,.528,,0,0,randlju01
402,Duop Reath,C,27,POR,39,679,.483,14.7,,.483,.303,.169,.011,.000,.517,,.581,.679,.378,1.000,,.391,,.613,1.000,,.052,12,,.196,.519,,0,0,reathdu01
403,Austin Reaves,SG,25,LAL,56,1742,.490,16.0,,.574,.184,.174,.133,.083,.426,,.582,.791,.514,.506,.385,.365,,.392,.680,,.011,7,,.113,.333,,1,0,reaveau01
404,Cam Reddish,SF,24,LAL,35,815,.405,13.8,,.537,.283,.185,.034,.034,.463,,.464,.621,.342,.143,.143,.337,,.706,1.000,,.054,9,,.526,.380,,0,0,reddica01
405,Paul Reed,C,24,PHI,54,954,.545,7.3,,.885,.423,.308,.105,.049,.115,,.573,.711,.420,.500,.500,.333,,.607,.909,,.108,29,,.303,.300,,0,0,reedpa01
406,Naz Reid,C,24,MIN,54,1215,.489,14.4,,.515,.240,.246,.027,.002,.485,,.561,.740,.405,.429,.000,.414,,.628,1.000,,.060,30,,.337,.440,,2,0,reidna01
407,Jared Rhoden,SG,24,DET,6,42,.545,13.7,,.636,.182,.182,.273,.000,.364,,.714,.500,1.000,.667,,.250,,1.000,1.000,,.273,2,,.250,1.000,,0,0,rhodeja01
408,Nick Richards,C,26,CHO,45,1164,.692,3.1,,1.000,.684,.247,.053,.016,.000,,.692,.763,.607,.308,.250,,,.637,,,.344,74,,,,,0,0,richani01
409,Josh Richardson,SG,30,MIA,43,1103,.444,17.9,,.452,.118,.159,.101,.075,.548,,.561,.683,.582,.457,.462,.347,,.511,.970,,.023,7,,.226,.395,,1,0,richajo01
