,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
76,Alec Burks,SG,32,TOT,46,970,.390,19.1,,.403,.070,.135,.110,.088,.597,,.374,.484,.300,.429,.333,.400,,.522,.783,,.000,0,,.291,.390,,0,0,burksal01
77,Jared Butler,SG,23,WAS,18,130,.560,15.4,,.520,.260,.260,.000,.000,.480,,.692,.923,.462,,,.417,,.444,.700,,.040,2,,.042,1.000,,1,0,butleja02
78,Jimmy Butler,PF,34,MIA,37,1254,.500,9.7,,.831,.268,.353,.155,.054,.169,,.512,.669,.463,.364,.481,.440,,.464,.784,,.050,23,,.440,.459,,0,0,butleji01
79,Jamal Cain,PF,24,MIA,16,225,.420,12.7,,.623,.246,.232,.101,.043,.377,,.488,.647,.313,.429,.667,.308,,.667,.875,,.087,5,,.654,.294,,0,0,cainja01
80,Kentavious Caldwell-Pope,SG,30,DEN,50,1596,.443,16.6,,.517,.186,.094,.092,.145,.483,,.502,.548,.432,.500,.491,.379,,.804,.972,,.010,4,,.374,.423,,0,0,caldwke01
81,Toumani Camara,PF,23,POR,52,1235,.427,12.0,,.589,.354,.204,.022,.010,.411,,.514,.613,.359,.429,.333,.302,,.537,1.000,,.083,20,,.426,.273,,0,0,camarto01
82,Clint Capela,C,29,ATL,47,1209,.575,2.2,,1.000,.727,.266,.003,.005,.000,,.575,.638,.419,.000,.000,,,.639,,,.263,97,,,,,0,0,capelca01
83,Jevon Carter,PG,28,CHI,52,710,.371,20.5,,.353,.036,.091,.149,.076,.647,,.433,.300,.440,.463,.429,.337,,.619,.867,,.000,0,,.270,.417,,1,0,carteje01
84,Wendell Carter Jr.,C,24,ORL,29,759,.535,12.2,,.637,.327,.212,.071,.027,.363,,.611,.838,.333,.500,.333,.402,,.761,1.000,,.190,37,,.366,.367,,0,0,cartewe01
85,Alex Caruso,SG,29,CHI,47,1274,.482,16.8,,.395,.225,.126,.024,.021,.605,,.606,.720,.429,.625,.429,.401,,.475,.901,,.033,10,,.361,.342,,0,0,carusal01
86,Colin Castleton,C,23,LAL,7,36,.700,3.6,,1.000,.700,.200,.100,.000,.000,,.700,.714,.500,1.000,,,,.714,,,.200,2,,,,,0,0,castlco01
87,Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,cazalma01
88,Julian Champagnie,SF,22,SAS,48,796,.398,19.3,,.279,.159,.088,.013,.018,.721,,.476,.639,.300,.000,.250,.368,,.900,.967,,.040,6,,.307,.380,,0,0,champju02
89,Max Christie,SG,20,LAL,43,740,.422,16.5,,.514,.146,.168,.135,.065,.486,,.484,.593,.323,.560,.500,.356,,.674,.969,,.070,12,,.389,.429,,1,0,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,32,.167,18.5,,.333,.000,.333,.000,.000,.667,,.500,,.500,,,.000,,1.000,,,.000,0,,.500,.000,,0,0,cissosi01
