,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
66,66,256,2019,Rudy Gobert,5,C,5,UTA,5,81.0,2,80.0,2,5.9,4,8.8,8,0.0,10,,10,8.8,4,0.669,1,0.669,1,4.1,2,6.4,1,0.636,10,3.8,1,9.0,1,12.9,1,1.2,9,2.0,8,0.8,7,2.3,1,1.6,6,2.9,2,15.9,4,24.6,1,0.682,1,0.0,10,0.733,1,13.2,1,30.2,1,21.9,1,9.6,8,1.2,8,5.8,1,12.1,5,17.8,7,8.7,1,5.7,1,14.4,1,0.268,1,3.0,2,2.5,1,5.4,1,4.8,1,2.2,10,0.815,1,0.167,5,0.011,10,0.007,10,47.9,1,,10,0.0,10,0.3,1
67,67,258,2019,Aaron Gordon,5,PF,5,ORL,5,78.0,4,78.0,2,6.0,4,13.4,4,4.4,5,0.349,6,9.0,4,0.499,6,0.507,7,2.4,5,3.2,4,0.731,8,1.7,2,5.7,3,7.4,3,1.8,5,3.7,4,0.7,8,0.7,3,2.1,4,2.2,6,16.0,4,15.1,6,0.538,8,0.332,6,0.242,6,5.2,3,18.4,3,11.7,3,16.6,5,1.1,8,1.8,3,12.3,5,21.8,5,1.8,6,3.3,2,5.1,5,0.093,6,0.3,6,0.3,4,0.6,5,1.7,4,13.0,7,0.328,3,0.129,7,0.116,4,0.096,5,10.9,2,25.1,3,0.33099999999999996,6,0.1,7
68,68,259,2019,Eric Gordon,5,SG,5,HOU,5,68.0,7,53.0,6,5.6,5,13.8,3,8.8,1,0.36,5,5.0,8,0.497,7,0.525,5,1.8,7,2.2,7,0.783,6,0.3,10,1.9,10,2.2,10,1.5,7,1.9,8,0.6,9,0.4,6,1.3,8,2.1,7,16.2,4,12.2,8,0.549,7,0.64,1,0.162,9,0.9,10,6.9,10,3.8,10,9.4,8,0.9,10,1.1,6,8.2,10,22.0,5,1.7,7,1.0,9,2.6,8,0.059,9,0.5,5,-1.8,10,-1.3,8,0.4,8,18.3,1,0.198,8,0.134,7,0.018,10,0.01,10,0.7000000000000001,8,11.200000000000001,8,0.6399999999999999,1,0.2,3
69,69,263,2019,Jerami Grant,5,PF,5,OKC,5,80.0,3,77.0,3,5.1,6,10.3,7,3.7,7,0.392,2,6.6,7,0.555,2,0.567,2,2.0,6,2.8,5,0.71,9,1.2,4,4.0,5,5.2,5,1.2,9,1.0,10,0.8,7,1.3,1,0.8,10,2.7,3,13.6,6,13.8,7,0.592,2,0.356,6,0.269,4,3.7,4,13.1,6,8.2,6,4.2,10,1.1,8,3.2,2,6.8,10,15.4,9,4.0,3,3.3,2,7.3,2,0.134,3,-0.4,7,0.6,4,0.2,6,1.5,4,11.4,8,0.42,2,0.141,6,0.045,9,0.038,8,13.600000000000001,1,51.5,1,0.356,6,0.2,3
70,70,266,2019,Danny Green,5,SG,5,TOR,5,80.0,3,80.0,2,3.7,9,7.9,9,5.4,3,0.455,1,2.4,10,0.487,7,0.622,1,0.5,10,0.6,10,0.841,3,0.8,6,3.2,7,4.0,7,1.8,5,1.6,9,0.9,6,0.7,3,0.9,10,2.1,7,10.3,9,13.0,8,0.632,1,0.69,1,0.07,10,3.0,5,12.2,7,7.7,6,7.7,9,1.6,5,2.0,3,10.4,7,14.1,10,3.0,4,2.9,3,5.9,4,0.128,4,1.1,4,0.8,3,2.0,3,2.2,3,19.6,1,0.114,10,0.086,9,0.054,8,0.056,7,0.3,9,41.4,1,0.69,1,0.2,3
71,71,267,2019,Draymond Green,5,PF,5,GSW,5,66.0,7,66.0,5,2.8,10,6.4,10,2.5,9,0.285,9,3.9,9,0.549,3,0.501,8,1.0,9,1.4,9,0.692,9,0.9,5,6.4,2,7.3,3,2.7,2,6.9,1,1.4,2,1.1,2,2.6,2,3.0,2,7.4,10,12.9,8,0.526,9,0.391,5,0.216,7,3.2,5,20.8,3,12.4,3,26.8,2,2.2,2,2.8,2,26.8,1,13.1,10,1.1,8,3.2,2,4.3,6,0.1,6,-1.3,9,2.7,1,1.4,4,1.8,4,13.4,6,0.358,3,0.135,7,0.066,7,0.05,7,6.4,3,13.3,7,0.391,5,0.2,3
72,72,273,2019,Jeff Green,5,PF,5,WAS,5,77.0,4,44.0,7,4.2,8,8.9,8,4.2,5,0.347,6,4.8,8,0.586,1,0.555,3,2.4,5,2.7,6,0.888,1,0.7,7,3.3,7,4.0,7,1.4,7,1.8,8,0.6,9,0.5,5,1.3,8,2.1,7,12.3,7,13.6,7,0.608,2,0.466,3,0.3,3,2.9,6,13.3,6,8.0,6,9.2,8,1.0,9,1.6,4,11.5,6,17.8,7,2.8,4,0.8,9,3.6,6,0.083,7,0.0,6,-1.4,9,-1.4,8,0.3,8,15.9,4,0.242,6,0.124,7,0.08,6,0.089,5,6.3,3,28.1,3,0.46499999999999997,3,0.1,7
73,73,274,2019,Blake Griffin,5,PF,5,DET,5,75.0,5,75.0,3,8.3,2,17.9,1,7.0,1,0.362,5,10.9,3,0.525,5,0.532,5,5.5,1,7.3,1,0.753,7,1.3,3,6.2,2,7.5,3,1.6,6,5.4,2,0.7,8,0.4,6,3.4,1,2.7,3,24.5,1,21.0,2,0.581,4,0.389,5,0.41,1,4.0,4,20.1,3,11.8,3,27.1,2,1.0,9,0.9,8,13.8,3,30.2,1,5.1,2,2.9,3,8.0,2,0.147,3,4.9,1,0.2,5,5.1,1,4.7,1,13.1,7,0.283,4,0.241,2,0.054,8,0.034,9,3.1,5,17.8,5,0.3879999999999999,5,0.1,7
74,74,277,2019,Tim Hardaway Jr.,5,SG,5,TOT,5,65.0,8,63.0,5,6.0,4,15.3,3,7.3,1,0.34,7,7.9,5,0.442,10,0.474,10,3.6,2,4.2,3,0.841,3,0.5,9,2.9,8,3.4,8,1.5,7,2.4,6,0.8,7,0.1,10,1.6,6,2.2,6,18.1,3,13.6,7,0.527,9,0.48,3,0.278,4,1.7,9,9.8,9,5.7,9,12.8,6,1.3,7,0.3,10,8.6,9,25.4,3,1.0,8,0.9,9,1.8,9,0.043,9,-0.1,6,-2.0,10,-2.0,9,0.0,9,17.4,2,0.162,9,0.11,8,0.113,4,0.135,3,1.6,7,11.5,8,0.48,3,0.1,7
75,75,280,2019,James Harden,5,PG,5,HOU,5,78.0,4,78.0,2,10.8,1,24.5,1,13.2,1,0.368,4,11.3,2,0.528,4,0.541,4,9.7,1,11.0,1,0.879,1,0.8,6,5.8,3,6.6,3,1.5,7,7.5,1,2.0,1,0.7,3,5.0,1,3.1,2,36.1,1,30.6,1,0.616,1,0.539,2,0.449,1,2.5,7,17.8,3,10.0,4,39.5,1,2.7,1,1.7,4,14.5,2,40.5,1,11.4,1,3.8,1,15.2,1,0.254,1,9.4,1,1.6,2,11.0,1,9.3,1,16.4,3,0.235,6,0.166,5,0.042,9,0.018,10,1.2,8,7.9,9,0.5389999999999999,2,0.2,3
76,76,282,2019,Montrezl Harrell,5,C,5,LAC,5,82.0,1,5.0,10,6.7,3,10.8,6,0.2,10,0.176,10,10.6,3,0.623,1,0.617,1,3.2,3,5.0,2,0.643,10,2.2,2,4.3,4,6.5,3,1.2,9,2.0,8,0.9,6,1.3,1,1.6,6,3.1,2,16.6,4,23.4,1,0.636,1,0.019,10,0.466,1,9.3,2,16.7,4,13.1,3,12.5,6,1.6,5,4.0,1,11.0,6,23.5,4,6.1,1,2.6,4,8.7,2,0.193,1,2.6,2,0.7,3,3.3,2,2.9,2,3.9,10,0.669,1,0.242,2,0.054,8,0.016,10,25.2,1,5.8999999999999995,9,0.018999999999999906,10,0.2,3
77,77,284,2019,Gary Harris,5,SG,5,DEN,5,57.0,9,48.0,7,4.7,7,11.2,6,4.2,5,0.339,7,6.9,6,0.476,8,0.488,9,2.0,6,2.5,6,0.799,5,0.7,7,2.1,10,2.8,9,1.8,5,2.2,7,1.0,4,0.3,8,1.2,8,2.0,8,12.9,6,12.2,8,0.526,9,0.38,5,0.226,6,2.7,6,7.9,10,5.3,9,11.0,7,1.6,5,1.0,7,8.9,9,20.0,6,1.1,8,1.5,7,2.6,8,0.076,8,-1.2,8,-0.4,6,-1.6,9,0.2,9,13.6,6,0.295,4,0.155,5,0.088,6,0.082,6,5.2,4,25.6,3,0.3800000000000001,5,0.1,7
78,78,285,2019,Joe Harris,5,SG,5,BRK,5,76.0,4,76.0,3,4.9,6,9.8,7,5.1,4,0.474,1,4.8,8,0.528,4,0.622,1,1.4,8,1.8,8,0.827,4,0.7,7,3.1,8,3.8,7,1.5,7,2.4,6,0.5,10,0.2,9,1.6,6,2.4,5,13.7,6,13.5,7,0.645,1,0.516,3,0.178,8,2.4,7,10.9,8,6.7,8,11.9,7,0.8,10,0.6,9,13.0,4,17.0,8,3.8,3,1.7,6,5.5,4,0.116,4,0.8,5,-0.3,6,0.5,5,1.4,5,15.3,4,0.279,5,0.138,6,0.047,9,0.02,9,0.1,10,15.0,6,0.516,3,0.2,3
79,79,286,2019,Tobias Harris,5,PF,5,TOT,5,82.0,1,82.0,1,7.5,2,15.3,3,4.8,4,0.397,2,10.5,3,0.528,4,0.549,3,3.2,3,3.7,3,0.866,2,0.8,6,7.0,1,7.9,2,1.6,6,2.8,6,0.6,9,0.5,5,1.8,5,2.2,6,20.0,2,17.2,4,0.592,2,0.313,7,0.245,5,2.6,6,20.8,3,12.0,3,12.5,6,0.8,10,1.0,7,9.8,8,22.8,4,4.5,2,2.6,4,7.1,2,0.12,4,2.1,3,-0.5,7,1.6,3,2.6,3,13.4,6,0.242,6,0.192,4,0.158,2,0.095,5,4.7,4,17.0,6,0.31300000000000006,7,0.1,7
