,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,std_areas_FGA
99,99,366,2024,Pure Shooter/Stretcher,No significant defensive role,Corey Kispert,SF,WAS,78.0,20.0,4.8,9.9,5.9,0.384,3.9,0.644,0.603,1.4,2.0,0.725,0.4,2.4,2.8,1.5,1.8,0.5,0.2,1.2,1.8,13.3,12.7,0.62,0.603,0.199,1.6,11.1,6.3,10.1,1.0,0.6,10.2,19.9,1.3,0.4,1.8,0.042,-0.3,-1.9,-2.2,-0.1,17.6,0.204,0.147,0.038,0.009,3.1,21.6,8.6
100,100,374,2024,Slasher,No significant defensive role,Jonathan Kuminga,PF,GSW,72.0,44.0,6.2,11.8,2.3,0.319,9.5,0.58,0.561,3.0,4.1,0.742,1.3,3.6,4.8,1.4,2.2,0.7,0.5,1.6,2.3,16.2,17.2,0.598,0.192,0.348,5.7,16.2,11.0,12.3,1.4,1.7,10.8,24.7,2.5,1.7,4.2,0.106,0.1,-0.4,-0.3,0.8,9.4,0.295,0.365,0.11,0.038,18.3,27.0,10.7
101,101,375,2024,Versatile Scorer,No significant defensive role,Kyle Kuzma,PF,WAS,70.0,70.0,8.7,18.8,6.4,0.336,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,1.6,4.2,0.5,0.7,2.7,2.2,22.2,15.8,0.547,0.343,0.183,3.1,20.9,11.8,20.8,0.8,1.8,11.9,30.0,-1.3,1.2,-0.1,-0.002,0.5,-1.6,-1.1,0.5,13.7,0.206,0.272,0.117,0.062,4.6,22.2,8.8
102,102,378,2024,Versatile Scorer,No significant defensive role,Zach LaVine,SG,CHI,25.0,23.0,6.8,15.0,6.8,0.349,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,1.9,3.9,0.8,0.3,2.1,2.3,19.5,15.2,0.578,0.449,0.274,1.1,16.9,8.8,17.0,1.2,0.9,11.0,24.0,0.7,0.7,1.4,0.075,0.8,-0.8,0.1,0.5,15.7,0.237,0.136,0.053,0.125,4.0,18.3,7.3
103,103,382,2024,Versatile Scorer,Perimeter Defender,Kawhi Leonard,SF,LAC,68.0,68.0,9.0,17.1,4.9,0.417,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,2.0,3.6,1.6,0.9,1.8,1.4,23.7,23.2,0.626,0.289,0.246,4.7,17.2,11.2,16.9,2.4,2.3,8.5,26.8,5.8,2.8,8.6,0.177,4.9,0.6,5.5,4.4,13.9,0.168,0.2,0.246,0.097,7.199999999999999,19.3,7.6
104,104,383,2024,Creator/Facilitator,Perimeter Defender,Caris LeVert,SG,CLE,67.0,10.0,5.1,12.1,4.9,0.324,7.1,0.485,0.486,2.3,2.9,0.766,0.6,3.5,4.1,3.0,5.1,1.1,0.5,1.7,1.8,14.0,14.6,0.523,0.408,0.244,2.4,14.7,8.7,25.7,2.0,1.6,11.5,23.3,0.7,2.5,3.2,0.081,-0.6,0.8,0.1,1.0,13.7,0.259,0.21,0.11,0.012,4.3,17.599999999999998,7.0
105,105,390,2024,Creator/Facilitator,No significant defensive role,Damian Lillard,PG,MIL,72.0,72.0,7.5,17.5,8.6,0.356,9.0,0.495,0.514,6.4,7.0,0.92,0.5,3.9,4.4,2.6,7.0,1.0,0.3,2.7,1.9,24.4,19.7,0.593,0.489,0.397,1.7,13.0,7.5,29.0,1.4,0.6,11.4,28.6,5.5,1.9,7.4,0.14,3.5,-1.3,2.2,2.7,17.2,0.196,0.145,0.078,0.092,1.0,5.800000000000001,2.3
106,106,401,2024,No significant offensive role,No significant defensive role,Brook Lopez,C,MIL,77.0,77.0,4.6,9.5,5.1,0.368,4.4,0.621,0.584,1.4,1.7,0.815,1.5,3.8,5.2,1.6,1.6,0.6,2.4,1.0,2.4,12.5,14.8,0.609,0.538,0.178,5.9,14.5,10.3,7.2,0.9,6.7,9.0,16.0,2.8,2.7,5.5,0.112,0.3,0.9,1.1,1.9,16.6,0.243,0.123,0.077,0.019,5.5,14.499999999999998,5.8
107,107,404,2024,No significant offensive role,Perimeter Defender,Kyle Lowry,PG,TOT,58.0,53.0,2.8,6.4,4.3,0.393,2.2,0.512,0.563,1.1,1.3,0.836,0.6,2.7,3.2,3.0,4.2,1.0,0.4,1.4,2.4,8.3,11.1,0.594,0.664,0.196,2.4,11.6,7.0,20.0,1.8,1.2,16.7,13.2,1.4,1.8,3.3,0.096,-1.8,0.9,-1.0,0.4,19.7,0.116,0.11,0.073,0.038,0.0,25.1,10.0
108,108,413,2024,No significant offensive role,No significant defensive role,Terance Mann,SG,LAC,73.0,69.0,3.3,6.5,2.7,0.345,3.8,0.625,0.58,1.0,1.3,0.826,1.2,2.2,3.4,2.7,1.6,0.6,0.2,0.6,2.0,8.6,11.6,0.608,0.419,0.193,6.0,10.7,8.4,8.5,1.2,0.7,8.3,13.6,2.6,1.0,3.7,0.096,-1.0,-0.7,-1.7,0.1,13.2,0.285,0.197,0.082,0.017,9.9,52.0,20.7
109,109,418,2024,Versatile Scorer,No significant defensive role,Lauri Markkanen,PF,UTA,55.0,55.0,7.8,16.2,8.0,0.399,8.2,0.559,0.578,4.5,5.0,0.899,2.2,5.9,8.2,1.4,2.0,0.9,0.5,1.4,1.8,23.2,21.5,0.631,0.493,0.311,8.0,20.9,14.5,9.5,1.3,1.3,7.1,25.2,5.0,1.0,6.0,0.159,5.1,-1.5,3.6,2.6,15.7,0.175,0.24,0.061,0.03,9.8,17.8,7.1
110,110,420,2024,No significant offensive role,No significant defensive role,Caleb Martin,SF,MIA,62.0,21.0,3.8,8.8,3.6,0.35,5.2,0.489,0.504,1.2,1.6,0.778,1.1,3.2,4.4,1.8,2.2,0.7,0.5,1.2,2.0,10.1,10.9,0.532,0.41,0.182,5.1,14.9,9.9,11.8,1.3,1.6,11.5,17.6,0.0,2.1,2.1,0.058,-2.2,0.2,-2.1,0.0,14.4,0.217,0.221,0.074,0.079,3.3000000000000003,36.3,14.5
111,111,421,2024,No significant offensive role,Perimeter Defender,Cody Martin,SF,CHO,28.0,22.0,2.9,7.7,3.1,0.314,4.6,0.426,0.444,0.7,1.2,0.606,0.7,3.2,3.9,2.3,3.7,1.1,0.6,1.6,1.7,7.5,9.3,0.46,0.4,0.153,2.9,14.7,8.6,19.1,2.1,2.2,16.1,16.2,-0.8,0.6,-0.2,-0.014,-4.1,0.6,-3.5,-0.3,14.8,0.223,0.158,0.098,0.121,3.3000000000000003,36.0,14.3
112,112,427,2024,No significant offensive role,No significant defensive role,Bennedict Mathurin,SF,IND,59.0,19.0,5.0,11.2,3.6,0.374,7.6,0.481,0.507,3.1,3.8,0.821,1.0,2.9,4.0,1.2,2.0,0.6,0.2,1.6,2.0,14.5,13.0,0.562,0.323,0.338,4.7,13.7,9.2,9.9,1.1,0.7,11.3,23.5,0.5,0.8,1.3,0.041,-1.2,-2.3,-3.5,-0.6,12.4,0.275,0.253,0.089,0.06,3.0,10.7,4.2
113,113,429,2024,Creator/Facilitator,No significant defensive role,Tyrese Maxey,PG,PHI,68.0,68.0,9.1,20.3,8.1,0.37,12.2,0.5,0.522,4.7,5.4,0.87,0.5,3.2,3.7,3.7,6.3,1.0,0.5,1.7,2.1,25.9,19.7,0.571,0.4,0.268,1.6,10.3,5.9,27.0,1.3,1.1,6.8,28.2,5.4,2.0,7.4,0.139,4.1,-1.1,2.9,3.2,14.7,0.223,0.232,0.091,0.054,0.4,6.7,2.6
114,114,434,2024,Versatile Scorer,No significant defensive role,CJ McCollum,PG,NOP,63.0,63.0,7.2,15.8,8.3,0.417,7.5,0.498,0.565,1.8,2.1,0.83,0.6,3.8,4.3,2.6,4.5,1.0,0.6,1.7,1.9,19.7,17.5,0.586,0.525,0.135,2.1,13.3,7.8,21.1,1.5,1.9,9.0,24.8,2.7,2.5,5.2,0.123,3.0,-0.2,2.8,2.5,17.5,0.107,0.192,0.118,0.058,0.5,12.0,4.8
115,115,436,2024,No significant offensive role,Perimeter Defender,Jaden McDaniels,SF,MIN,70.0,69.0,4.3,8.8,3.5,0.332,5.2,0.597,0.557,0.8,1.1,0.727,0.8,2.4,3.2,1.2,1.4,0.9,0.6,1.2,3.1,10.6,9.6,0.571,0.402,0.125,3.6,9.5,6.7,6.8,1.6,1.8,11.5,15.9,0.2,3.0,3.2,0.074,-3.3,0.8,-2.5,-0.2,13.5,0.221,0.236,0.109,0.031,9.1,60.699999999999996,24.2
116,116,444,2024,No significant offensive role,Perimeter Defender,De'Anthony Melton,SG,PHI,37.0,33.0,3.7,9.6,5.7,0.358,3.9,0.428,0.493,1.8,2.1,0.835,0.8,3.0,3.8,2.8,3.1,1.6,0.4,1.1,2.2,11.3,13.4,0.533,0.594,0.221,3.2,13.3,8.1,15.3,2.9,1.4,9.1,18.4,0.7,1.3,2.0,0.093,-0.7,1.1,0.4,0.6,17.6,0.182,0.151,0.031,0.042,2.8000000000000003,17.9,7.1
117,117,453,2024,Creator/Facilitator,No significant defensive role,Khris Middleton,SF,MIL,53.0,53.0,5.7,11.7,4.5,0.382,7.1,0.562,0.566,1.8,2.1,0.83,0.7,3.9,4.7,2.3,5.3,0.9,0.3,2.3,2.6,15.0,16.9,0.594,0.39,0.181,3.4,17.1,10.4,28.6,1.7,0.9,15.3,24.0,1.7,1.4,3.1,0.103,1.1,0.0,1.0,1.1,16.8,0.1,0.152,0.188,0.17,0.5,19.1,7.6
118,118,455,2024,Versatile Scorer,No significant defensive role,Brandon Miller,SF,CHO,73.0,67.0,6.5,14.7,6.7,0.374,8.0,0.495,0.525,1.9,2.3,0.825,0.8,3.5,4.3,1.3,2.4,0.9,0.6,1.8,2.5,17.4,13.1,0.552,0.455,0.159,2.9,13.1,7.9,11.7,1.4,1.7,10.2,24.1,-0.6,1.2,0.6,0.012,-0.9,-1.6,-2.6,-0.3,16.7,0.141,0.169,0.162,0.073,3.8,18.2,7.2
119,119,469,2024,Creator/Facilitator,Perimeter Defender,Donovan Mitchell,SG,CLE,54.0,54.0,9.1,19.7,9.0,0.368,10.7,0.542,0.546,5.0,5.8,0.863,0.8,4.3,5.1,2.2,6.1,1.8,0.6,2.8,2.1,26.5,22.0,0.596,0.456,0.295,2.9,14.6,8.9,28.5,2.6,1.4,11.3,31.7,3.2,2.8,6.0,0.15,4.6,1.2,5.8,3.8,16.4,0.21,0.138,0.096,0.1,2.0,4.5,1.8
120,120,470,2024,Slasher,Paint Protector,Evan Mobley,PF,CLE,48.0,48.0,6.4,11.1,1.2,0.386,9.9,0.604,0.602,2.5,3.5,0.713,2.2,7.3,9.5,1.7,3.2,0.9,1.5,1.9,2.7,15.8,20.2,0.627,0.107,0.314,9.1,28.4,18.9,15.9,1.5,4.3,12.8,21.0,2.4,2.7,5.1,0.166,0.9,2.1,3.0,1.9,6.6,0.459,0.34,0.066,0.028,23.7,42.1,16.8
121,121,472,2024,Creator/Facilitator,No significant defensive role,Malik Monk,SG,SAC,72.0,0.0,5.5,12.4,5.9,0.35,6.5,0.528,0.526,2.4,2.8,0.829,0.4,2.6,2.9,2.4,5.1,0.6,0.5,2.1,2.2,15.4,15.9,0.564,0.474,0.23,1.7,12.2,6.8,28.9,1.2,1.9,13.2,26.0,1.6,1.6,3.3,0.083,1.5,-1.0,0.4,1.1,16.2,0.169,0.189,0.108,0.06,4.9,13.200000000000001,5.2
122,122,486,2024,No significant offensive role,No significant defensive role,Trey Murphy III,SF,NOP,54.0,21.0,4.7,10.9,7.7,0.368,3.1,0.604,0.567,2.1,2.6,0.809,0.8,4.1,4.9,3.5,2.1,0.9,0.5,0.6,1.2,14.4,16.1,0.601,0.712,0.24,3.1,16.3,9.8,10.2,1.5,1.7,4.6,18.9,2.8,2.1,4.8,0.148,2.3,0.0,2.3,1.7,20.1,0.147,0.097,0.029,0.015,7.000000000000001,21.099999999999998,8.4
123,123,487,2024,Creator/Facilitator,No significant defensive role,Dejounte Murray,SG,ATL,76.0,76.0,8.6,18.8,7.2,0.361,11.6,0.516,0.526,2.7,3.4,0.8,0.8,4.6,5.4,2.5,6.5,1.4,0.3,2.6,1.8,22.5,17.8,0.554,0.381,0.178,2.5,15.7,8.8,28.0,2.0,0.8,11.2,26.9,2.9,1.6,4.6,0.081,2.4,-0.6,1.8,2.6,14.9,0.171,0.191,0.178,0.078,1.0,22.2,8.8
124,124,488,2024,Creator/Facilitator,No significant defensive role,Jamal Murray,PG,DEN,57.0,57.0,7.9,16.6,5.7,0.424,10.9,0.507,0.551,2.6,3.1,0.848,0.7,3.4,4.1,3.1,6.6,1.0,0.7,2.1,1.8,20.9,20.4,0.583,0.341,0.188,2.8,12.8,7.9,31.3,1.6,1.8,10.6,28.0,3.4,1.9,5.4,0.142,4.3,-0.4,3.9,2.7,15.2,0.166,0.17,0.169,0.153,2.0,10.5,4.1
125,125,489,2024,No significant offensive role,No significant defensive role,Keegan Murray,SF,SAC,74.0,74.0,5.7,12.6,6.5,0.355,6.1,0.565,0.548,1.3,1.6,0.825,1.4,4.1,5.4,1.9,1.7,1.0,0.8,0.9,2.7,15.1,13.2,0.569,0.518,0.129,4.7,15.1,9.8,7.1,1.5,2.1,6.0,18.1,2.2,2.6,4.8,0.092,-0.5,-0.5,-1.0,0.6,17.2,0.144,0.151,0.112,0.075,8.6,25.5,10.2
126,126,498,2024,No significant offensive role,No significant defensive role,Andrew Nembhard,PG,IND,66.0,45.0,3.8,7.7,2.5,0.358,5.2,0.564,0.555,0.6,0.8,0.788,0.5,1.5,2.1,2.7,4.1,0.9,0.1,1.5,2.1,9.2,11.3,0.57,0.324,0.102,2.6,7.5,5.0,20.1,1.8,0.3,15.6,16.2,1.0,0.8,1.8,0.052,-1.7,-0.5,-2.3,-0.1,14.0,0.191,0.206,0.198,0.081,0.2,31.5,12.5
127,127,499,2024,Pure Shooter/Stretcher,No significant defensive role,Aaron Nesmith,SF,IND,70.0,45.0,4.4,8.9,4.7,0.42,4.2,0.573,0.603,1.4,1.9,0.771,0.9,2.9,3.8,1.7,1.5,0.9,0.7,0.9,3.4,12.2,12.7,0.626,0.53,0.21,3.8,12.7,8.3,6.8,1.6,2.0,8.6,16.2,2.4,1.4,3.8,0.093,-0.3,-0.2,-0.5,0.7,15.3,0.24,0.167,0.053,0.01,5.3,42.0,16.8
128,128,508,2024,Slasher,Paint Protector,Jusuf Nurkić,C,PHO,74.0,74.0,4.2,8.4,1.2,0.247,7.1,0.552,0.526,2.2,3.5,0.637,3.0,8.1,11.1,1.7,3.9,1.0,1.0,2.3,3.4,11.0,17.4,0.556,0.144,0.414,13.9,33.8,24.4,19.8,1.8,3.3,18.9,19.4,1.5,3.8,5.3,0.125,-1.1,1.9,0.8,1.4,6.6,0.505,0.309,0.031,0.011,10.0,9.0,3.5
129,129,513,2024,No significant offensive role,Perimeter Defender,Royce O'Neale,SF,TOT,77.0,14.0,2.7,6.9,5.4,0.37,1.5,0.5,0.543,0.3,0.4,0.697,0.8,4.1,4.8,3.1,2.8,0.8,0.6,0.9,2.2,7.8,11.4,0.55,0.781,0.062,3.7,19.4,11.6,15.1,1.5,2.1,11.7,14.1,1.2,2.2,3.4,0.085,-0.9,1.1,0.2,1.0,21.7,0.11,0.087,0.019,0.004,0.8,16.7,6.7
130,130,518,2024,Paint Threat,No significant defensive role,Onyeka Okongwu,C,ATL,55.0,8.0,4.1,6.6,1.3,0.333,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.6,1.3,0.5,1.1,0.8,2.9,10.2,16.8,0.674,0.189,0.318,11.7,20.2,15.8,7.2,0.9,3.8,9.8,13.8,3.4,1.0,4.3,0.149,0.1,-0.5,-0.4,0.6,6.8,0.559,0.233,0.014,0.005,24.4,73.9,29.5
131,131,519,2024,No significant offensive role,Perimeter Defender,Isaac Okoro,SF,CLE,67.0,41.0,3.4,7.0,3.1,0.386,3.9,0.573,0.576,1.3,2.0,0.667,1.0,2.0,3.0,2.4,1.9,0.8,0.5,0.8,2.1,9.4,11.3,0.596,0.447,0.281,4.5,8.9,6.7,9.3,1.5,1.6,9.3,14.2,1.8,1.9,3.7,0.098,-1.9,0.8,-1.2,0.4,12.5,0.387,0.151,0.009,0.006,4.7,64.8,25.9
132,132,525,2024,Slasher,No significant defensive role,Kelly Oubre Jr.,SF,PHI,66.0,50.0,5.7,12.9,4.8,0.312,8.2,0.519,0.5,2.5,3.3,0.751,1.4,3.6,5.0,1.2,1.5,1.2,0.7,1.3,2.9,15.5,13.6,0.536,0.368,0.259,5.4,14.1,9.7,7.4,1.9,2.1,8.2,22.5,0.4,2.3,2.7,0.064,-1.5,-0.8,-2.3,-0.1,12.3,0.309,0.235,0.07,0.018,12.1,30.3,12.1
133,133,526,2024,No significant offensive role,Perimeter Defender,Chris Paul,PG,GSW,55.0,16.0,3.6,8.0,3.6,0.379,4.4,0.502,0.532,0.8,0.9,0.827,0.3,3.6,3.9,5.3,6.9,1.2,0.1,1.3,1.8,9.3,15.1,0.552,0.451,0.118,1.5,16.0,8.8,33.8,2.3,0.3,13.6,15.8,2.6,1.5,4.1,0.136,0.1,1.2,1.3,1.2,19.1,0.023,0.107,0.228,0.191,0.0,17.2,6.8
134,134,540,2024,No significant offensive role,Perimeter Defender,Brandin Podziemski,SG,GSW,71.0,28.0,3.7,8.1,3.2,0.388,4.9,0.497,0.53,0.7,1.1,0.628,1.6,4.1,5.7,3.1,3.7,0.8,0.2,1.2,1.7,9.3,13.1,0.541,0.393,0.135,7.2,18.4,12.9,18.3,1.6,0.6,12.5,15.7,2.0,1.7,3.7,0.094,-0.4,0.4,0.0,0.9,13.8,0.185,0.324,0.066,0.031,0.8999999999999999,18.9,7.5
135,135,542,2024,Paint Threat,Paint Protector,Jakob Poeltl,C,TOR,50.0,50.0,5.0,7.6,0.0,,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,1.7,2.5,0.7,1.5,1.5,3.0,11.1,18.8,0.653,0.0,0.283,13.1,26.5,19.7,14.0,1.3,5.1,15.3,16.4,2.2,1.4,3.6,0.13,-0.3,1.0,0.7,0.9,3.9,0.545,0.349,0.106,0.0,7.3999999999999995,,0.2
136,136,546,2024,Versatile Scorer,No significant defensive role,Jordan Poole,SG,WAS,78.0,66.0,6.3,15.2,7.2,0.326,8.0,0.492,0.491,2.5,2.8,0.877,0.4,2.3,2.7,1.8,4.4,1.1,0.3,2.4,3.1,17.4,12.1,0.529,0.476,0.185,1.6,9.1,5.2,21.4,1.7,0.9,12.8,26.6,-1.8,0.9,-0.9,-0.018,-2.1,-1.9,-4.0,-1.2,17.1,0.156,0.18,0.116,0.073,0.8,10.8,4.3
137,137,549,2024,Versatile Scorer,Rebounding Specialist,Michael Porter Jr.,SF,DEN,79.0,79.0,6.5,13.3,6.8,0.401,6.5,0.576,0.589,1.1,1.4,0.832,1.3,5.7,7.1,1.4,1.5,0.5,0.6,1.1,1.8,16.8,15.8,0.605,0.514,0.102,5.3,21.7,13.7,6.6,0.9,1.7,7.5,20.9,3.1,2.9,6.0,0.114,1.4,-1.1,0.2,1.4,17.6,0.179,0.092,0.078,0.138,5.4,21.3,8.5
138,138,551,2024,No significant offensive role,Rebounding Specialist,Bobby Portis,PF,MIL,80.0,2.0,5.7,11.3,3.0,0.401,8.3,0.547,0.562,1.2,1.5,0.787,1.7,5.6,7.4,1.2,1.3,0.8,0.4,1.1,2.3,13.9,17.6,0.58,0.268,0.135,8.8,27.1,18.2,7.7,1.7,1.3,8.3,23.2,1.9,2.5,4.5,0.109,0.1,-0.9,-0.9,0.6,12.9,0.216,0.217,0.197,0.101,2.9000000000000004,41.699999999999996,16.6
139,139,552,2024,Slasher,No significant defensive role,Kristaps Porziņģis,C,BOS,56.0,56.0,6.8,13.2,5.1,0.375,8.1,0.608,0.591,4.6,5.4,0.857,1.7,5.5,7.2,1.2,2.0,0.8,1.9,1.6,2.8,20.2,23.2,0.649,0.389,0.405,6.8,19.9,13.7,10.2,1.3,5.8,9.2,25.3,4.6,3.1,7.7,0.222,3.5,1.6,5.2,3.0,14.6,0.249,0.177,0.127,0.058,12.8,2.4,0.9
140,140,555,2024,No significant offensive role,No significant defensive role,Norman Powell,SG,LAC,75.0,3.0,4.9,10.1,5.1,0.438,5.1,0.537,0.597,1.9,2.3,0.831,0.2,2.4,2.6,1.2,1.1,0.6,0.3,0.9,1.8,14.0,14.0,0.629,0.501,0.226,1.1,10.9,6.2,5.9,1.1,1.0,7.3,20.3,2.8,1.1,3.9,0.096,0.5,-1.2,-0.8,0.6,16.4,0.145,0.212,0.092,0.051,2.4,32.0,12.8
141,141,558,2024,Pure Shooter/Stretcher,No significant defensive role,Taurean Prince,PF,LAL,76.0,49.0,3.3,7.3,4.6,0.393,2.8,0.526,0.565,0.6,0.9,0.727,0.3,2.7,3.0,1.8,1.6,0.8,0.5,0.9,1.9,8.9,8.9,0.578,0.625,0.118,1.2,11.4,6.6,7.3,1.3,1.5,10.7,13.9,0.1,1.6,1.7,0.04,-2.7,-0.1,-2.8,-0.4,17.9,0.124,0.167,0.061,0.023,1.4000000000000001,41.3,16.5
142,142,563,2024,Versatile Scorer,No significant defensive role,Immanuel Quickley,PG-SG,TOT,67.0,37.0,5.7,13.2,6.4,0.394,6.8,0.473,0.53,3.1,3.6,0.851,0.3,3.6,3.8,3.3,4.9,0.7,0.1,1.5,1.7,17.0,16.8,0.577,0.482,0.273,1.0,15.0,7.9,24.6,1.3,0.5,9.0,24.1,3.4,1.2,4.6,0.112,2.2,-0.9,1.3,1.7,16.8,0.114,0.224,0.126,0.053,0.6,18.5,7.4
143,143,569,2024,Slasher,Rebounding Specialist,Julius Randle,PF,NYK,46.0,46.0,8.6,18.2,5.3,0.311,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,1.4,5.0,0.5,0.3,3.5,2.7,24.0,18.9,0.569,0.292,0.361,7.4,24.4,15.9,22.9,0.8,0.7,14.1,30.1,1.8,1.9,3.7,0.108,2.2,-0.2,2.0,1.6,11.7,0.266,0.291,0.115,0.037,3.2,14.799999999999999,5.8
144,144,571,2024,Versatile Scorer,No significant defensive role,Austin Reaves,SG,LAL,80.0,55.0,5.6,11.5,5.1,0.363,6.4,0.578,0.563,2.9,3.4,0.859,0.7,3.7,4.4,2.7,5.6,0.8,0.3,2.1,1.8,15.8,15.4,0.61,0.443,0.292,2.8,13.1,8.2,23.8,1.2,0.7,14.1,20.5,3.5,1.9,5.4,0.1,0.8,-0.4,0.4,1.5,16.1,0.178,0.192,0.121,0.065,1.3,14.499999999999998,5.7
145,145,574,2024,No significant offensive role,Perimeter Defender,Naz Reid,C,MIN,79.0,14.0,5.0,10.5,5.0,0.415,5.5,0.533,0.576,1.3,1.8,0.729,0.9,4.3,5.3,1.0,1.3,0.8,0.9,1.3,2.1,13.4,16.2,0.593,0.478,0.168,5.0,21.2,13.5,8.3,1.6,3.3,10.5,23.3,1.0,3.7,4.7,0.117,0.5,1.1,1.6,1.7,14.5,0.211,0.274,0.036,0.001,5.0,27.900000000000002,11.1
146,146,576,2024,Paint Threat,Rebounding Specialist,Nick Richards,C,CHO,67.0,51.0,3.9,5.6,0.0,0.0,5.6,0.693,0.691,2.0,2.7,0.737,2.6,5.5,8.0,0.7,0.8,0.4,1.1,1.1,2.6,9.7,16.6,0.717,0.003,0.476,11.4,25.7,18.3,4.5,0.7,3.9,13.8,13.4,3.5,1.5,5.0,0.136,-1.6,-0.7,-2.3,-0.1,3.1,0.684,0.245,0.059,0.011,35.4,0.0,0.3
147,147,577,2024,No significant offensive role,No significant defensive role,Josh Richardson,SG,MIA,43.0,6.0,3.6,8.1,4.4,0.347,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,3.0,2.4,0.6,0.3,0.8,1.8,9.9,11.5,0.573,0.548,0.156,2.0,11.8,6.8,13.9,1.1,1.2,8.9,16.6,0.9,1.2,2.0,0.087,-1.4,0.0,-1.4,0.2,17.9,0.118,0.159,0.101,0.075,2.3,22.6,9.0
148,148,578,2024,Pure Shooter/Stretcher,No significant defensive role,Duncan Robinson,SF,MIA,68.0,36.0,4.5,9.9,7.0,0.395,3.0,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.0,2.8,0.7,0.2,1.4,2.4,12.9,12.2,0.612,0.701,0.133,1.0,10.4,5.6,15.2,1.2,0.8,11.7,19.2,1.4,1.9,3.4,0.085,-0.5,-0.4,-1.0,0.5,19.6,0.121,0.144,0.027,0.007,0.4,22.2,8.8
149,149,580,2024,No significant offensive role,Perimeter Defender,Mitchell Robinson,C,NYK,28.0,21.0,2.4,4.2,0.0,,4.2,0.559,0.559,0.8,2.0,0.368,4.7,4.2,8.9,0.7,0.6,1.3,1.2,0.9,1.8,5.5,15.5,0.535,0.0,0.483,22.4,20.1,21.2,3.3,2.6,4.3,14.9,10.1,0.8,1.2,2.1,0.138,-0.6,0.6,-0.1,0.4,1.0,0.932,0.068,0.0,0.0,41.5,,0.4
150,150,590,2024,Creator/Facilitator,No significant defensive role,Terry Rozier,PG-SG,TOT,61.0,60.0,7.2,16.4,6.7,0.363,9.6,0.498,0.518,2.8,3.2,0.869,0.6,3.5,4.0,3.3,5.6,1.0,0.3,1.7,1.7,19.8,17.3,0.555,0.411,0.198,2.0,12.9,7.4,27.5,1.6,1.0,8.9,26.1,2.0,1.6,3.6,0.084,2.1,-0.7,1.5,1.8,15.2,0.16,0.224,0.112,0.092,0.2,28.000000000000004,11.1
151,151,595,2024,Creator/Facilitator,No significant defensive role,D'Angelo Russell,PG,LAL,74.0,67.0,6.5,14.3,7.2,0.417,7.1,0.498,0.562,2.1,2.6,0.826,0.4,2.8,3.1,3.0,6.3,0.9,0.5,2.1,2.0,18.2,16.2,0.59,0.501,0.18,1.5,9.7,5.8,27.7,1.3,1.2,11.9,23.4,2.9,1.7,4.6,0.091,1.8,-0.8,0.9,1.8,17.3,0.109,0.208,0.116,0.066,0.1,12.3,4.9
152,152,597,2024,Creator/Facilitator,Switchable Defender,Domantas Sabonis,C,SAC,79.0,79.0,7.7,13.0,1.0,0.378,12.0,0.612,0.608,3.6,5.1,0.701,3.6,10.1,13.8,2.5,8.2,0.9,0.6,3.3,3.1,19.4,23.1,0.636,0.08,0.39,11.8,35.2,23.1,34.0,1.2,1.6,17.9,22.3,7.6,4.0,11.6,0.197,4.0,2.5,6.5,6.1,6.1,0.457,0.363,0.072,0.028,11.4,6.1,2.4
153,153,606,2024,Creator/Facilitator,No significant defensive role,Dennis Schröder,PG,TOT,80.0,58.0,5.0,11.6,4.6,0.375,7.0,0.474,0.509,2.2,2.7,0.836,0.5,2.5,3.0,3.2,6.1,0.8,0.2,1.9,2.1,14.0,13.3,0.55,0.397,0.23,1.8,10.0,5.8,27.9,1.3,0.6,13.0,20.5,2.0,1.0,3.0,0.058,-0.5,-1.3,-1.8,0.1,15.2,0.193,0.173,0.148,0.09,0.0,16.8,6.7
