,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
120,120,512,2022,No significant offensive role,No significant defensive role,Jaden McDaniels,PF,MIN,70.0,31.0,3.6,7.9,3.6,0.317,4.3,0.579,0.532,0.8,1.0,0.803,1.1,3.1,4.2,1.0,1.1,0.7,0.8,1.1,3.2,9.2,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.065,-2.9,-0.1,-2.9,-0.4,13.8,0.283,0.179,0.054,0.029,10.100000000000001,4600.0,49.6,100.0,0.45499999999999996,0.2
121,121,514,2022,Pure Shooter/Stretcher,No significant defensive role,Doug McDermott,PF,SAS,51.0,51.0,4.2,9.1,5.0,0.422,4.1,0.512,0.578,0.8,1.0,0.784,0.4,1.9,2.3,1.6,1.3,0.3,0.1,0.8,1.5,11.3,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.062,-0.4,-2.1,-2.5,-0.1,16.6,0.176,0.185,0.06,0.028,1.0999999999999999,500.0,18.8,0.0,0.5509999999999999,0.2
122,122,525,2022,Creator/Facilitator,No significant defensive role,Khris Middleton,SF,MIL,66.0,66.0,6.8,15.5,6.6,0.373,8.9,0.494,0.522,3.9,4.4,0.89,0.6,4.8,5.4,1.9,5.4,1.2,0.3,2.9,2.4,20.1,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.119,1.9,-0.3,1.6,1.9,17.3,0.104,0.14,0.189,0.142,0.8,600.0,11.1,0.0,0.42500000000000004,0.1
123,123,527,2022,Pure Shooter/Stretcher,No significant defensive role,Patty Mills,SG,BRK,81.0,48.0,4.0,9.8,7.0,0.4,2.8,0.429,0.551,0.6,0.7,0.814,0.2,1.7,1.9,2.6,2.3,0.6,0.2,0.9,1.4,11.4,10.4,0.563,0.715,0.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,1.9,0.9,2.8,0.058,-0.3,-1.4,-1.7,0.2,21.4,0.064,0.037,0.065,0.118,0.0,0.0,25.7,300.0,0.716,0.3
124,124,533,2022,No significant offensive role,No significant defensive role,Davion Mitchell,PG,SAC,75.0,19.0,4.7,11.2,4.3,0.316,7.0,0.48,0.477,0.7,1.1,0.659,0.4,1.8,2.2,2.8,4.2,0.7,0.3,1.5,1.9,11.5,10.8,0.489,0.38,0.101,1.7,7.0,4.4,22.5,1.3,1.0,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,15.6,0.189,0.154,0.108,0.17,0.4,300.0,11.899999999999999,400.0,0.379,0.1
125,125,534,2022,Creator/Facilitator,No significant defensive role,Donovan Mitchell,SG,UTA,67.0,67.0,9.2,20.5,9.8,0.355,10.8,0.533,0.533,4.0,4.7,0.853,0.8,3.4,4.2,1.8,5.3,1.5,0.2,3.0,2.4,25.9,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,0.152,4.6,-0.3,4.3,3.6,16.7,0.14,0.236,0.077,0.072,1.7999999999999998,2100.0,9.0,200.0,0.475,0.1
126,126,535,2022,Slasher,No significant defensive role,Evan Mobley,PF,CLE,69.0,69.0,6.1,12.0,1.3,0.25,10.7,0.541,0.522,2.4,3.7,0.663,2.1,6.2,8.3,1.3,2.5,0.8,1.7,1.9,2.1,15.0,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,8.4,0.364,0.307,0.143,0.075,19.8,15100.0,22.8,100.0,0.11099999999999999,0.1
127,127,536,2022,No significant offensive role,No significant defensive role,Malik Monk,SG,LAL,76.0,37.0,5.1,10.9,5.8,0.391,5.1,0.568,0.578,1.2,1.5,0.795,0.5,2.9,3.4,1.8,2.9,0.8,0.4,1.6,1.8,13.8,14.4,0.597,0.535,0.142,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1.0,-0.5,0.8,16.3,0.229,0.162,0.034,0.04,6.9,5400.0,17.2,0.0,0.5349999999999999,0.2
128,128,545,2022,Creator/Facilitator,No significant defensive role,Ja Morant,PG,MEM,57.0,57.0,10.2,20.6,4.5,0.344,16.2,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,2.0,6.7,1.2,0.4,3.4,1.5,27.4,24.4,0.575,0.218,0.353,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,4.6,2.1,6.7,0.171,6.2,-0.1,6.1,3.9,10.3,0.332,0.291,0.135,0.025,5.7,5800.0,9.0,300.0,0.21699999999999997,0.1
129,129,550,2022,Versatile Scorer,No significant defensive role,Marcus Morris,PF,LAC,54.0,54.0,5.6,12.8,5.1,0.367,7.7,0.478,0.507,2.4,2.7,0.872,0.5,3.9,4.4,1.6,2.1,0.5,0.3,1.3,2.1,15.4,13.7,0.549,0.398,0.214,1.8,14.0,8.1,11.3,0.9,1.0,8.4,23.2,0.9,1.5,2.4,0.074,-0.3,-1.0,-1.4,0.3,17.6,0.046,0.145,0.24,0.171,0.1,0.0,21.5,200.0,0.398,0.1
130,130,552,2022,No significant offensive role,No significant defensive role,Monte Morris,PG,DEN,75.0,74.0,5.0,10.3,4.2,0.395,6.1,0.545,0.564,1.0,1.1,0.869,0.4,2.7,3.0,4.4,4.4,0.7,0.2,1.0,1.2,12.6,14.7,0.583,0.406,0.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,0.116,0.8,-0.8,0.0,1.1,16.1,0.155,0.137,0.132,0.169,0.0,0.0,32.800000000000004,0.0,0.4069999999999999,0.1
131,131,559,2022,Creator/Facilitator,Perimeter Defender,Dejounte Murray,PG,SAS,68.0,68.0,8.4,18.3,4.3,0.327,13.9,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,3.5,9.2,2.0,0.3,2.6,2.0,21.1,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,0.149,3.7,1.7,5.4,4.4,12.7,0.214,0.206,0.226,0.116,1.9,2300.0,17.0,0.0,0.238,0.0
132,132,577,2022,Slasher,Rebounding Specialist,Jusuf Nurkić,C,POR,56.0,56.0,5.7,10.7,1.0,0.268,9.7,0.563,0.548,3.3,4.8,0.69,3.0,8.1,11.1,1.1,2.8,1.1,0.6,2.6,3.4,15.0,20.0,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,2.0,1.7,3.6,0.11,0.1,0.2,0.3,0.9,5.9,0.49,0.35,0.03,0.037,6.2,3500.0,1.7999999999999998,0.0,0.09299999999999997,0.2
133,133,580,2022,Pure Shooter/Stretcher,Perimeter Defender,Royce O'Neale,SF,UTA,77.0,77.0,2.6,5.8,4.0,0.389,1.8,0.609,0.591,0.6,0.7,0.804,0.8,3.9,4.8,2.5,2.5,1.1,0.4,1.0,2.4,7.4,10.3,0.608,0.689,0.126,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,2.7,2.8,5.5,0.109,-0.8,1.7,0.8,1.7,18.7,0.194,0.106,0.011,0.0,2.5,1000.0,30.7,100.0,0.6890000000000001,0.3
134,134,584,2022,No significant offensive role,Perimeter Defender,Chuma Okeke,PF,ORL,70.0,20.0,3.1,8.2,5.3,0.318,2.9,0.48,0.478,0.8,0.9,0.846,0.7,4.3,5.0,2.1,1.7,1.4,0.6,0.8,1.4,8.6,12.0,0.501,0.645,0.113,2.8,18.2,10.5,10.1,2.7,2.2,8.6,16.4,-0.3,2.5,2.2,0.06,-1.6,1.5,-0.1,0.8,18.6,0.137,0.139,0.045,0.033,5.4,2900.0,24.0,0.0,0.646,0.2
135,135,588,2022,No significant offensive role,No significant defensive role,Isaac Okoro,SF,CLE,67.0,61.0,3.1,6.4,2.3,0.35,4.1,0.555,0.544,1.8,2.3,0.768,1.1,1.9,3.0,2.0,1.8,0.8,0.3,0.9,2.4,8.8,10.4,0.589,0.364,0.36,4.1,7.1,5.6,8.5,1.4,1.0,10.4,12.4,2.4,1.9,4.2,0.103,-2.4,0.7,-1.7,0.1,10.4,0.487,0.123,0.009,0.016,9.0,3600.0,73.2,0.0,0.365,0.2
136,136,597,2022,No significant offensive role,No significant defensive role,Kelly Oubre Jr.,SF,CHO,76.0,13.0,5.4,12.3,7.3,0.345,5.0,0.578,0.542,1.7,2.5,0.667,1.0,2.9,4.0,1.2,1.1,1.0,0.4,0.9,2.5,15.0,14.9,0.56,0.593,0.203,4.1,12.0,8.0,6.2,1.8,1.5,6.2,23.0,1.8,1.4,3.3,0.079,0.2,-1.6,-1.4,0.3,16.9,0.231,0.121,0.042,0.013,6.3,5300.0,31.3,200.0,0.593,0.2
137,137,603,2022,No significant offensive role,Perimeter Defender,Chris Paul,PG,PHO,65.0,65.0,5.6,11.3,3.1,0.317,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4.0,4.4,4.5,10.8,1.9,0.3,2.4,2.1,14.7,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,16.4,0.034,0.158,0.346,0.192,0.0,0.0,8.0,300.0,0.27,0.1
138,138,614,2022,Paint Threat,Perimeter Defender,Mason Plumlee,C,CHO,73.0,73.0,2.8,4.4,0.0,0.0,4.4,0.645,0.641,0.9,2.3,0.392,2.4,5.3,7.7,2.2,3.1,0.8,0.7,1.4,3.1,6.5,14.7,0.603,0.006,0.534,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,2.7,2.0,4.7,0.127,-1.5,1.5,0.0,0.9,3.1,0.681,0.266,0.044,0.003,37.5,10800.0,0.0,100.0,0.005999999999999894,0.3
139,139,615,2022,Slasher,Switchable Defender,Jakob Poeltl,C,SAS,68.0,67.0,6.0,9.8,0.0,1.0,9.7,0.618,0.619,1.4,2.8,0.495,3.9,5.5,9.3,1.7,2.8,0.7,1.7,1.6,3.1,13.5,20.8,0.613,0.002,0.287,13.9,20.0,16.9,14.0,1.1,5.0,12.7,18.3,4.4,2.5,6.9,0.168,0.9,0.7,1.6,1.7,4.7,0.471,0.391,0.133,0.005,7.199999999999999,4400.0,0.0,100.0,0.0,0.2
140,140,618,2022,No significant offensive role,No significant defensive role,Jordan Poole,SG,GSW,76.0,51.0,6.2,13.9,7.6,0.364,6.3,0.55,0.548,3.2,3.5,0.925,0.4,3.0,3.4,1.6,4.0,0.8,0.3,2.5,2.7,18.5,16.1,0.598,0.548,0.251,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,3.1,2.9,6.0,0.126,1.3,-0.3,1.0,1.7,17.8,0.142,0.182,0.066,0.061,1.9,1600.0,16.0,500.0,0.549,0.2
141,141,619,2022,Creator/Facilitator,No significant defensive role,Kevin Porter Jr.,PG,HOU,61.0,61.0,5.5,13.2,6.8,0.375,6.5,0.456,0.511,2.0,3.2,0.642,0.7,3.7,4.4,2.0,6.2,1.1,0.4,3.1,2.6,15.6,13.5,0.531,0.511,0.239,2.5,13.0,7.7,30.7,1.7,1.0,17.7,24.1,0.0,0.8,0.8,0.021,-0.1,-1.6,-1.6,0.2,16.5,0.203,0.157,0.058,0.071,5.2,3400.0,10.7,0.0,0.511,0.2
142,142,622,2022,Versatile Scorer,Rebounding Specialist,Bobby Portis,C,MIL,72.0,59.0,5.8,12.1,4.7,0.393,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,0.9,1.2,0.7,0.7,1.3,2.4,14.6,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,2.9,2.6,5.5,0.131,1.2,-1.0,0.2,1.1,14.5,0.219,0.185,0.126,0.082,3.6999999999999997,2400.0,38.2,200.0,0.388,0.1
143,143,623,2022,Slasher,Switchable Defender,Kristaps Porziņģis,PF,TOT,51.0,51.0,6.9,15.0,4.9,0.31,10.1,0.532,0.51,4.9,5.6,0.867,2.0,6.1,8.1,1.4,2.3,0.7,1.6,1.6,2.7,20.2,23.7,0.577,0.329,0.373,7.7,23.1,15.4,13.7,1.3,5.0,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2,14.3,0.214,0.183,0.186,0.089,12.4,8500.0,2.8000000000000003,100.0,0.32800000000000007,0.1
144,144,629,2022,Versatile Scorer,No significant defensive role,Norman Powell,SF-SG,TOT,45.0,41.0,6.2,13.4,5.6,0.419,7.8,0.491,0.549,4.2,5.2,0.811,0.4,2.8,3.2,1.4,2.1,0.9,0.5,1.5,2.4,19.0,16.3,0.603,0.418,0.385,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,2.4,0.4,2.8,0.093,1.2,-1.5,-0.3,0.6,14.4,0.256,0.179,0.058,0.089,2.6,1300.0,31.6,0.0,0.41800000000000004,0.1
145,145,640,2022,Creator/Facilitator,Rebounding Specialist,Julius Randle,PF,NYK,72.0,72.0,7.1,17.3,5.4,0.308,11.9,0.458,0.459,4.2,5.6,0.756,1.7,8.2,9.9,1.5,5.1,0.7,0.5,3.4,2.8,20.1,15.7,0.509,0.313,0.322,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,-0.3,3.4,3.1,0.059,0.4,0.2,0.5,1.6,13.8,0.254,0.152,0.137,0.144,4.0,4300.0,11.5,0.0,0.31299999999999994,0.1
146,146,649,2022,No significant offensive role,Perimeter Defender,Josh Richardson,SG,TOT,65.0,7.0,3.6,8.2,3.8,0.415,4.4,0.458,0.534,1.5,1.7,0.889,0.6,2.2,2.8,1.8,1.8,0.9,0.4,1.0,1.8,10.2,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2.0,3.5,0.106,-0.6,0.7,0.1,0.9,17.2,0.109,0.154,0.178,0.099,1.7000000000000002,800.0,18.3,100.0,0.45999999999999996,0.1
147,147,653,2022,Pure Shooter/Stretcher,No significant defensive role,Duncan Robinson,SG,MIA,79.0,68.0,3.7,9.2,7.9,0.372,1.3,0.569,0.559,0.6,0.8,0.836,0.3,2.3,2.6,2.0,1.6,0.5,0.2,0.8,2.5,10.9,10.6,0.573,0.86,0.084,1.4,9.8,5.6,9.3,1.0,0.7,7.4,17.7,1.9,2.0,3.9,0.092,-0.3,-0.3,-0.6,0.7,22.7,0.077,0.039,0.012,0.012,0.3,200.0,23.9,0.0,0.86,0.3
148,148,658,2022,Paint Threat,Perimeter Defender,Mitchell Robinson,C,NYK,72.0,62.0,3.6,4.8,0.0,,4.8,0.761,0.761,1.2,2.5,0.486,4.1,4.5,8.6,0.6,0.5,0.8,1.8,0.8,2.7,8.5,20.7,0.722,0.0,0.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,0.221,1.0,1.2,2.2,2.0,1.2,0.918,0.082,0.0,0.0,58.3,17800.0,,0.0,0.0,0.4
149,149,665,2022,Creator/Facilitator,No significant defensive role,Derrick Rose,PG,NYK,26.0,4.0,4.7,10.5,3.5,0.402,7.0,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3.0,2.7,4.0,0.8,0.5,1.5,0.6,12.0,16.9,0.541,0.336,0.113,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,0.108,2.3,0.0,2.3,0.7,13.4,0.245,0.23,0.088,0.102,0.0,0.0,18.5,100.0,0.3350000000000001,0.1
150,150,667,2022,No significant offensive role,No significant defensive role,Terry Rozier,SG,CHO,73.0,73.0,7.1,16.0,8.1,0.374,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,3.5,4.5,1.3,0.3,1.3,1.6,19.3,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,4.3,1.6,5.9,0.115,2.4,-0.7,1.7,2.3,16.4,0.181,0.165,0.082,0.064,1.0999999999999999,1000.0,36.4,300.0,0.508,0.2
151,151,668,2022,Creator/Facilitator,Perimeter Defender,Ricky Rubio,PG,CLE,34.0,8.0,4.4,12.1,5.1,0.339,7.0,0.38,0.434,2.6,3.0,0.854,0.4,3.7,4.1,2.5,6.6,1.4,0.2,2.6,2.2,13.1,14.0,0.488,0.423,0.251,1.7,14.1,8.0,34.6,2.5,0.6,16.5,24.9,-0.1,1.4,1.3,0.064,-1.0,1.2,0.2,0.5,15.4,0.197,0.165,0.136,0.078,0.0,0.0,29.299999999999997,200.0,0.42400000000000004,0.1
152,152,669,2022,Creator/Facilitator,No significant defensive role,D'Angelo Russell,PG,MIN,65.0,65.0,6.2,15.0,8.0,0.34,7.0,0.492,0.502,3.0,3.7,0.825,0.4,2.9,3.3,2.8,7.1,1.0,0.3,2.5,2.0,18.1,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,2.9,1.5,4.4,0.101,2.2,-1.5,0.8,1.4,18.2,0.128,0.128,0.104,0.109,0.8,500.0,8.3,300.0,0.531,0.2
153,153,671,2022,Slasher,Rebounding Specialist,Domantas Sabonis,PF,TOT,62.0,61.0,7.1,12.5,2.0,0.312,10.5,0.623,0.598,4.0,5.4,0.741,3.2,8.9,12.1,1.7,5.2,1.0,0.4,3.1,3.3,18.9,21.9,0.637,0.162,0.429,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.159,3.2,0.9,4.1,3.2,7.6,0.485,0.265,0.047,0.041,8.5,5900.0,13.600000000000001,0.0,0.16199999999999992,0.2
154,154,681,2022,No significant offensive role,No significant defensive role,Dennis Schröder,PG,TOT,64.0,29.0,4.9,11.3,3.9,0.344,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,2.1,4.6,0.8,0.1,2.2,2.4,13.5,13.0,0.539,0.345,0.254,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,1.0,1.9,2.9,0.076,-1.5,-0.4,-1.9,0.0,14.7,0.169,0.228,0.126,0.133,0.0,0.0,11.200000000000001,100.0,0.344,0.1
155,155,692,2022,Slasher,Perimeter Defender,Pascal Siakam,PF,TOR,68.0,68.0,8.8,17.8,3.2,0.344,14.5,0.527,0.525,4.2,5.6,0.749,1.9,6.6,8.5,2.0,5.3,1.3,0.6,2.7,3.3,22.8,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6,11.2,0.216,0.34,0.132,0.132,2.6,3100.0,18.3,100.0,0.17999999999999994,0.1
156,156,697,2022,No significant offensive role,No significant defensive role,Anfernee Simons,SG,POR,57.0,30.0,6.2,14.0,7.8,0.405,6.2,0.49,0.555,1.8,2.0,0.888,0.5,2.2,2.6,2.0,3.9,0.5,0.1,2.0,1.9,17.3,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2.0,-0.1,1.9,0.055,1.9,-2.7,-0.7,0.5,19.0,0.113,0.118,0.109,0.105,1.0999999999999999,800.0,9.0,200.0,0.555,0.2
157,157,704,2022,No significant offensive role,Perimeter Defender,Marcus Smart,PG,BOS,71.0,71.0,4.2,10.1,5.1,0.331,5.0,0.506,0.501,2.0,2.5,0.793,0.6,3.2,3.8,2.7,5.9,1.7,0.3,2.2,2.3,12.1,13.6,0.54,0.501,0.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.116,-1.2,1.7,0.5,1.5,16.1,0.146,0.251,0.075,0.026,1.3,800.0,23.3,200.0,0.502,0.2
158,158,727,2022,Slasher,Rebounding Specialist,Isaiah Stewart,C,DET,71.0,71.0,3.5,6.9,0.6,0.326,6.3,0.529,0.526,1.0,1.5,0.718,3.2,5.5,8.7,1.0,1.2,0.3,1.1,1.2,3.0,8.3,14.0,0.55,0.094,0.21,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,1.6,1.8,3.4,0.091,-2.5,-0.8,-3.3,-0.6,5.6,0.584,0.243,0.039,0.041,6.1,2800.0,8.7,0.0,0.09299999999999997,0.2
159,159,730,2022,No significant offensive role,No significant defensive role,Jalen Suggs,PG,ORL,48.0,45.0,4.1,11.4,4.1,0.214,7.3,0.443,0.4,2.6,3.4,0.773,0.5,3.0,3.6,1.5,4.4,1.2,0.4,3.0,3.0,11.8,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3.0,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,13.3,0.263,0.245,0.069,0.066,3.5000000000000004,1500.0,12.2,100.0,0.357,0.1
160,160,733,2022,Slasher,No significant defensive role,Jae'Sean Tate,PF,HOU,78.0,77.0,4.7,9.3,2.6,0.312,6.8,0.569,0.541,1.7,2.4,0.707,1.7,3.7,5.4,1.6,2.8,0.9,0.5,1.8,3.7,11.8,14.3,0.567,0.277,0.252,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,1.9,1.1,3.0,0.071,-1.3,-0.5,-1.8,0.1,9.2,0.414,0.295,0.01,0.004,6.4,4300.0,39.1,0.0,0.277,0.2
161,161,734,2022,Slasher,Switchable Defender,Jayson Tatum,SF,BOS,76.0,76.0,9.3,20.6,8.6,0.353,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,1.5,4.4,1.0,0.6,2.9,2.3,26.9,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5.0,4.6,9.6,0.169,4.3,0.6,5.0,4.8,15.2,0.22,0.176,0.088,0.1,5.2,7600.0,12.1,200.0,0.41600000000000004,0.1
162,162,750,2022,No significant offensive role,No significant defensive role,Klay Thompson,SG,GSW,32.0,32.0,7.7,17.9,9.3,0.385,8.7,0.477,0.529,1.4,1.6,0.902,0.5,3.4,3.9,2.2,2.8,0.5,0.5,1.3,1.7,20.4,16.7,0.547,0.517,0.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.091,2.6,-1.6,1.1,0.7,18.9,0.061,0.129,0.162,0.131,0.8999999999999999,500.0,16.6,100.0,0.517,0.2
163,163,756,2022,No significant offensive role,Perimeter Defender,Matisse Thybulle,SG,PHI,66.0,50.0,2.3,4.5,2.2,0.313,2.4,0.673,0.575,0.5,0.7,0.791,0.6,1.7,2.3,1.8,1.1,1.7,1.1,0.6,2.4,5.7,11.2,0.594,0.48,0.143,2.8,7.1,5.0,6.1,3.4,3.8,10.9,9.5,1.2,2.5,3.7,0.107,-2.2,3.3,1.1,1.3,13.1,0.407,0.097,0.017,0.0,20.3,6000.0,48.6,0.0,0.479,0.2
164,164,763,2022,Slasher,Switchable Defender,Karl-Anthony Towns,C,MIN,74.0,74.0,8.7,16.4,4.9,0.41,11.5,0.58,0.591,5.2,6.3,0.822,2.6,7.2,9.8,1.2,3.6,1.0,1.1,3.1,3.6,24.6,24.1,0.64,0.301,0.385,8.2,23.6,15.7,18.0,1.4,3.2,13.7,27.8,7.1,3.2,10.3,0.199,4.5,0.5,5.0,4.4,11.5,0.333,0.255,0.049,0.062,9.1,9900.0,8.7,0.0,0.30099999999999993,0.1
165,165,764,2022,No significant offensive role,Perimeter Defender,Gary Trent Jr.,SG,TOR,70.0,69.0,6.4,15.5,7.8,0.383,7.7,0.445,0.511,2.5,2.9,0.853,0.4,2.4,2.7,2.0,2.0,1.7,0.3,1.0,2.1,18.3,14.7,0.546,0.502,0.188,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,3.1,2.5,5.6,0.11,-0.1,0.3,0.2,1.3,18.5,0.087,0.131,0.113,0.167,1.5,1400.0,19.6,100.0,0.502,0.2
166,166,765,2022,No significant offensive role,Perimeter Defender,P.J. Tucker,PF,MIA,71.0,70.0,2.9,6.0,2.7,0.415,3.3,0.54,0.577,0.6,0.9,0.738,1.4,4.0,5.5,2.3,2.1,0.8,0.2,0.9,2.3,7.6,11.3,0.593,0.451,0.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,2.4,2.6,5.0,0.121,-0.8,1.4,0.6,1.3,13.8,0.199,0.255,0.079,0.016,0.7000000000000001,300.0,88.6,0.0,0.45099999999999996,0.2
167,167,769,2022,Slasher,Rebounding Specialist,Myles Turner,C,IND,42.0,42.0,4.8,9.4,4.4,0.333,5.0,0.662,0.587,1.9,2.5,0.752,1.5,5.5,7.1,0.8,1.0,0.7,2.8,1.3,2.8,12.9,17.4,0.615,0.466,0.267,5.8,21.3,13.4,5.1,1.1,8.3,10.9,17.1,1.7,1.4,3.1,0.12,0.1,1.4,1.4,1.1,14.8,0.242,0.216,0.048,0.028,6.1,2200.0,18.6,0.0,0.46599999999999997,0.2
168,168,770,2022,Slasher,Rebounding Specialist,Jonas Valančiūnas,C,NOP,74.0,74.0,6.9,12.7,2.1,0.361,10.5,0.581,0.574,3.2,3.9,0.82,3.1,8.3,11.4,1.1,2.6,0.6,0.8,2.4,3.3,17.8,21.2,0.617,0.168,0.308,10.9,31.2,20.8,14.0,0.9,2.6,14.4,23.8,4.6,2.7,7.3,0.156,2.0,-0.1,1.9,2.2,9.1,0.333,0.324,0.132,0.043,6.4,5300.0,1.9,0.0,0.16799999999999993,0.1
169,169,774,2022,Paint Threat,Perimeter Defender,Jarred Vanderbilt,PF,MIN,74.0,67.0,2.9,4.9,0.2,0.143,4.7,0.605,0.59,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.3,1.3,0.6,1.0,2.4,6.9,15.3,0.612,0.039,0.363,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,3.1,2.9,6.0,0.153,-0.8,1.0,0.2,1.1,3.1,0.726,0.211,0.022,0.003,34.300000000000004,11700.0,64.3,0.0,0.038000000000000034,0.3
170,170,775,2022,Creator/Facilitator,Perimeter Defender,Fred VanVleet,PG,TOR,65.0,65.0,6.8,16.9,9.9,0.377,7.0,0.44,0.513,3.0,3.4,0.874,0.7,3.8,4.4,2.6,6.7,1.7,0.5,2.6,2.5,20.3,17.3,0.552,0.585,0.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,3.9,2.8,6.7,0.131,3.1,0.5,3.6,3.5,19.9,0.086,0.122,0.091,0.116,0.0,0.0,12.6,600.0,0.585,0.2
171,171,776,2022,No significant offensive role,No significant defensive role,Devin Vassell,SF,SAS,71.0,32.0,4.6,10.8,5.4,0.361,5.4,0.492,0.516,1.2,1.4,0.838,0.6,3.7,4.3,2.4,1.9,1.1,0.6,0.8,2.0,12.3,13.3,0.54,0.497,0.13,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,1.3,2.0,3.3,0.082,-0.5,0.0,-0.5,0.7,17.3,0.131,0.126,0.151,0.096,4.3,2800.0,32.6,100.0,0.496,0.1
