,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
44,44,140,2022,Slasher,Rebounding Specialist,John Collins,PF,ATL,54.0,53.0,6.3,11.9,3.3,0.364,8.7,0.588,0.576,2.5,3.1,0.793,1.7,6.1,7.8,1.6,1.8,0.6,1.0,1.1,3.0,16.2,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1.0,3.0,7.7,20.5,3.6,1.4,5.1,0.146,1.5,0.0,1.5,1.5,11.0,0.334,0.211,0.127,0.054,14.6,8500.0,31.8,0.0,0.2739999999999999,0.1
45,45,143,2022,Creator/Facilitator,Perimeter Defender,Mike Conley,PG,UTA,72.0,72.0,4.8,11.0,5.8,0.408,5.2,0.464,0.542,1.8,2.3,0.796,0.7,2.4,3.0,3.1,5.3,1.3,0.3,1.7,2.0,13.7,17.2,0.572,0.523,0.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,4.4,2.3,6.7,0.157,2.4,0.7,3.1,2.7,17.1,0.075,0.268,0.109,0.025,0.1,0.0,16.7,100.0,0.5229999999999999,0.2
46,46,144,2022,Pure Shooter/Stretcher,Perimeter Defender,Pat Connaughton,SF,MIL,65.0,19.0,3.5,7.6,5.7,0.395,1.9,0.643,0.605,0.7,0.8,0.833,0.7,3.5,4.2,2.6,1.3,0.9,0.2,0.5,1.3,9.9,13.4,0.62,0.746,0.109,2.9,14.0,8.6,6.6,1.7,0.9,6.3,14.0,2.8,1.6,4.4,0.125,0.8,0.3,1.2,1.4,20.2,0.161,0.065,0.022,0.006,1.7999999999999998,800.0,29.5,100.0,0.746,0.3
47,47,151,2022,Pure Shooter/Stretcher,Perimeter Defender,Robert Covington,PF,TOT,71.0,42.0,2.9,7.0,4.8,0.378,2.2,0.509,0.548,0.8,1.0,0.841,0.8,4.7,5.5,1.2,1.3,1.5,1.3,1.1,2.7,8.5,12.4,0.572,0.681,0.139,3.3,18.9,11.0,6.8,2.6,4.4,12.4,13.5,0.8,2.4,3.2,0.08,-1.6,1.7,0.2,1.1,18.8,0.171,0.108,0.022,0.018,3.0,1200.0,19.8,0.0,0.6809999999999999,0.2
48,48,158,2022,No significant offensive role,Perimeter Defender,Jae Crowder,PF,PHO,67.0,67.0,3.2,8.1,5.4,0.348,2.7,0.503,0.516,1.1,1.3,0.789,0.4,4.8,5.3,2.4,1.9,1.4,0.4,0.8,2.6,9.4,11.3,0.541,0.671,0.165,1.8,18.0,10.1,8.3,2.4,1.4,8.6,14.6,0.9,3.4,4.3,0.11,-1.3,2.4,1.1,1.5,20.8,0.059,0.094,0.079,0.097,0.4,200.0,21.4,200.0,0.671,0.2
49,49,161,2022,Creator/Facilitator,No significant defensive role,Cade Cunningham,SG,DET,64.0,64.0,6.7,16.1,5.7,0.314,10.4,0.472,0.471,2.2,2.6,0.845,0.9,4.6,5.5,1.5,5.6,1.2,0.7,3.7,3.1,17.4,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,13.8,0.214,0.249,0.113,0.072,2.0,1900.0,14.299999999999999,200.0,0.3520000000000001,0.1
50,50,162,2022,Pure Shooter/Stretcher,No significant defensive role,Seth Curry,SG,TOT,64.0,64.0,5.6,11.5,5.8,0.422,5.7,0.553,0.594,1.3,1.5,0.872,0.3,2.8,3.1,2.1,3.6,0.8,0.2,1.7,2.3,15.0,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,2.7,1.5,4.2,0.095,0.3,-0.9,-0.6,0.8,19.4,0.053,0.1,0.133,0.208,0.0,0.0,18.2,0.0,0.506,0.2
51,51,165,2022,Creator/Facilitator,Perimeter Defender,Stephen Curry,PG,GSW,64.0,64.0,8.4,19.1,11.7,0.38,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,2.0,6.3,1.3,0.4,3.2,2.0,25.5,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,4.6,3.4,8.0,0.173,5.4,0.4,5.8,4.4,19.8,0.12,0.134,0.062,0.071,0.0,0.0,9.1,500.0,0.613,0.2
52,52,166,2022,Slasher,Perimeter Defender,Anthony Davis,C,LAL,40.0,40.0,9.3,17.4,1.8,0.186,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,1.5,3.1,1.2,2.3,2.1,2.4,23.2,23.9,0.578,0.101,0.351,8.1,22.0,15.1,14.7,1.7,5.7,9.3,27.1,2.6,2.0,4.5,0.155,2.6,1.2,3.8,2.0,9.6,0.376,0.193,0.15,0.181,17.7,11100.0,10.0,0.0,0.10000000000000009,0.1
53,53,173,2022,Versatile Scorer,No significant defensive role,DeMar DeRozan,PF,CHI,76.0,76.0,10.2,20.2,1.9,0.352,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,2.0,4.9,0.9,0.3,2.4,2.3,27.9,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,13.0,0.164,0.158,0.297,0.288,2.6,3300.0,38.7,400.0,0.09299999999999997,0.1
