,level_0,index,Player,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,AST/TOV,AST/TOV ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
166,166,738,P.J. Tucker,PF,5,MIA,5,71,4,70,3,2.9,10,6.0,10,2.7,9,0.4,3,3.3,9,0.5,7,0.6,2,0.6,10,0.9,10,0.7,9,1.4,3,4.0,5,5.5,4,2.1,7,2.3,3,0.8,7,0.2,9,0.9,9,2.3,5,7.6,10,11.3,9,0.6,5,0.4,6,0.1,9,5.8,2,16.2,4,11.1,3,10.6,7,1.5,5,0.8,8,12.7,4,11.7,10,2.4,5,2.6,3,5.0,4,0.1,6,-0.8,8,1.4,2,0.6,5,1.3,5,13.8,7,19.900000000000002,6,25.5,2,7.9,6,1.6,9,45.099999999999994,5,15.1,5
167,167,742,Myles Turner,C,5,IND,5,42,10,42,7,4.8,6,9.4,7,4.4,6,0.3,8,5.0,7,0.7,1,0.6,2,1.9,6,2.5,6,0.8,5,1.5,3,5.5,3,7.1,3,1.0,10,0.8,10,0.7,8,2.8,1,1.3,7,2.8,2,12.9,7,17.4,4,0.6,5,0.5,3,0.3,3,5.8,2,21.3,2,13.4,2,5.1,10,1.1,8,8.3,1,10.9,6,17.1,8,1.7,7,1.4,8,3.1,7,0.1,6,0.1,6,1.4,2,1.4,4,1.1,6,14.8,6,24.2,4,21.6,4,4.8,8,2.8000000000000003,8,46.60000000000001,4,15.8,5
168,168,743,Jonas Valančiūnas,C,5,NOP,5,74,3,74,2,6.9,3,12.7,5,2.1,9,0.4,3,10.5,2,0.6,2,0.6,2,3.2,3,3.9,3,0.8,5,3.1,1,8.3,1,11.4,1,2.6,6,1.1,10,0.6,9,0.8,3,2.4,3,3.3,1,17.8,3,21.2,2,0.6,5,0.2,9,0.3,3,10.9,1,31.2,1,20.8,1,14.0,6,0.9,10,2.6,2,14.4,3,23.8,4,4.6,2,2.7,3,7.3,2,0.2,2,2.0,3,-0.1,6,1.9,3,2.2,3,9.1,10,33.300000000000004,2,32.4,1,13.200000000000001,3,4.3,7,16.799999999999997,9,11.3,7
169,169,747,Jarred Vanderbilt,PF,5,MIN,5,74,3,67,4,2.9,10,4.9,10,0.2,10,0.1,10,4.7,8,0.6,2,0.6,2,1.2,8,1.8,8,0.7,9,2.9,1,5.5,3,8.4,2,1.3,9,1.3,9,1.3,2,0.6,4,1.0,8,2.4,4,6.9,10,15.3,5,0.6,5,0.0,10,0.4,2,12.0,1,23.9,2,17.8,1,6.7,9,2.5,1,2.4,3,14.8,2,10.9,10,3.1,4,2.9,2,6.0,3,0.2,2,-0.8,8,1.0,3,0.2,6,1.1,6,3.1,10,72.6,1,21.099999999999998,4,2.1999999999999997,9,0.3,10,3.8000000000000114,10,27.3,1
170,170,748,Fred VanVleet,PG,5,TOR,5,65,7,65,4,6.8,3,16.9,2,9.9,1,0.4,3,7.0,5,0.4,10,0.5,7,3.0,3,3.4,4,0.9,2,0.7,6,3.8,6,4.4,6,6.7,1,2.6,2,1.7,1,0.5,4,2.6,3,2.5,3,20.3,2,17.3,4,0.6,5,0.6,2,0.2,6,1.8,8,11.4,7,6.4,8,26.7,2,2.3,2,1.4,5,12.5,4,23.7,4,3.9,3,2.8,2,6.7,3,0.1,6,3.1,2,0.5,4,3.6,2,3.5,2,19.9,1,8.6,10,12.2,9,9.1,5,11.600000000000001,2,58.5,2,19.3,3
171,171,749,Devin Vassell,SF,5,SAS,5,71,4,32,8,4.6,7,10.8,6,5.4,4,0.4,3,5.4,7,0.5,7,0.5,7,1.2,8,1.4,9,0.8,5,0.6,7,3.7,6,4.3,6,1.9,8,2.4,3,1.1,3,0.6,4,0.8,10,2.0,7,12.3,7,13.3,8,0.5,9,0.5,3,0.1,9,2.4,7,14.3,5,8.3,5,9.7,8,1.9,2,1.8,4,6.7,10,18.9,7,1.3,8,2.0,5,3.3,7,0.1,6,-0.5,8,0.0,5,-0.5,7,0.7,7,17.3,3,13.100000000000001,8,12.6,8,15.1,2,9.6,4,49.599999999999994,4,14.9,5
172,172,751,Nikola Vučević,C,5,CHI,5,73,3,73,2,7.5,2,15.8,3,4.5,6,0.3,8,11.3,2,0.5,7,0.5,7,1.3,8,1.7,8,0.8,5,1.9,2,9.1,1,11.0,1,3.2,5,1.7,7,1.0,4,1.0,2,1.9,4,2.5,3,17.6,4,18.2,3,0.5,9,0.3,8,0.1,9,6.6,2,30.7,1,18.7,1,15.2,6,1.4,6,2.5,3,10.1,7,24.5,3,1.4,8,3.2,2,4.5,5,0.1,6,0.8,5,0.1,5,0.9,5,1.8,4,13.0,7,22.3,5,25.3,3,13.700000000000001,3,10.100000000000001,3,28.599999999999994,8,7.0,10
173,173,753,Franz Wagner,SF,5,ORL,5,79,1,79,1,5.8,5,12.3,5,3.4,8,0.4,3,8.9,4,0.5,7,0.5,7,2.4,5,2.8,5,0.9,2,1.1,4,3.4,7,4.5,6,2.9,6,1.9,6,0.9,5,0.4,6,1.5,6,2.1,7,15.2,5,14.7,6,0.6,5,0.3,8,0.2,6,3.6,4,11.9,7,7.7,6,15.7,5,1.4,6,1.3,5,10.0,7,21.2,5,2.1,6,1.9,6,4.0,6,0.1,6,-0.4,7,-0.3,6,-0.7,8,0.8,7,10.4,9,29.5,3,36.7,1,4.3,8,1.6,9,27.900000000000006,8,14.3,6
174,174,756,Kemba Walker,PG,5,NYK,5,37,10,37,8,4.0,8,10.0,7,5.4,4,0.4,3,4.6,8,0.4,10,0.5,7,1.6,7,1.9,7,0.8,5,0.4,9,2.6,9,3.0,9,3.5,5,2.7,2,0.7,8,0.2,9,1.3,7,1.0,10,11.6,8,13.9,7,0.5,9,0.5,3,0.2,6,1.6,9,11.2,7,6.3,8,22.2,4,1.4,6,0.7,9,10.7,6,20.8,5,1.0,8,0.9,9,1.8,9,0.1,6,0.7,5,-0.2,6,0.4,6,0.6,8,18.0,2,13.8,8,13.0,8,8.4,6,11.1,3,53.699999999999996,3,17.0,4
175,175,765,P.J. Washington,C,5,CHO,5,65,7,28,9,3.8,8,8.2,8,4.6,6,0.4,3,3.6,9,0.6,2,0.6,2,0.9,9,1.2,9,0.7,9,1.3,3,3.9,5,5.2,5,2.3,7,1.8,6,0.9,5,0.9,2,1.3,7,2.3,5,10.3,8,13.6,7,0.6,5,0.6,2,0.2,6,4.8,3,15.5,4,10.1,4,11.2,7,1.5,5,3.3,2,12.6,4,15.6,9,1.8,6,1.6,7,3.4,7,0.1,6,-0.2,7,0.2,5,-0.1,7,0.9,6,15.8,5,28.599999999999998,3,13.200000000000001,8,1.5,10,0.2,10,56.5,2,20.9,2
