,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,std_areas_FGA,std_areas_FGA ranked
10,10,39,2024,Harrison Barnes,5,PF,5,SAC,5,79.0,1,79.0,1,4.2,8,8.8,8,4.7,6,0.388,3,4.2,9,0.567,4,0.575,3,1.8,7,2.3,6,0.797,6,0.8,6,2.2,10,2.9,9,1.6,8,1.1,10,0.6,9,0.1,10,0.7,10,1.2,10,12.0,7,11.6,9,0.609,3,0.531,3,0.26,5,3.2,6,9.3,10,6.2,9,5.2,10,1.1,9,0.4,10,6.8,10,15.8,9,2.6,4,1.5,7,4.1,5,0.086,6,-0.8,8,-1.3,9,-2.1,9,-0.1,9,16.0,4,0.182,7,0.216,5,0.053,8,0.019,8,3.5999999999999996,5,42.3,2,16.9,2
11,11,40,2024,Scottie Barnes,5,SG,5,TOR,5,60.0,8,60.0,5,7.5,3,15.7,3,4.9,5,0.341,8,10.8,3,0.536,6,0.528,7,3.3,3,4.2,3,0.781,7,2.4,2,5.9,2,8.2,2,2.2,4,6.1,2,1.3,1,1.5,1,2.8,1,2.0,7,19.9,3,19.4,2,0.566,7,0.314,8,0.266,5,8.0,2,20.8,3,14.3,3,26.1,3,1.8,3,3.7,2,13.6,3,25.1,3,2.1,5,1.9,5,3.9,5,0.09,6,2.9,2,0.9,3,3.7,2,3.0,2,12.4,8,0.271,3,0.268,3,0.079,6,0.069,4,8.4,3,14.899999999999999,7,5.9,7
12,12,41,2024,RJ Barrett,5,SG,5,TOT,5,57.0,8,57.0,5,7.4,3,15.1,3,4.3,6,0.362,6,10.8,3,0.542,5,0.542,6,3.5,3,4.9,2,0.712,9,0.9,5,4.4,4,5.3,4,1.5,8,3.3,6,0.5,10,0.4,7,2.2,3,2.2,5,19.9,3,16.1,5,0.576,6,0.285,8,0.326,2,3.5,6,17.2,4,10.2,4,16.6,5,0.9,10,1.1,7,11.1,6,26.6,3,1.3,7,1.2,8,2.5,8,0.065,8,0.5,5,-1.5,9,-1.0,7,0.5,7,10.3,9,0.358,2,0.278,2,0.058,8,0.02,8,5.0,4,35.0,2,13.9,2
13,13,49,2024,Nicolas Batum,5,PF,5,TOT,5,58.0,8,38.0,8,2.0,10,4.3,10,3.1,8,0.4,2,1.2,10,0.627,1,0.607,1,0.3,10,0.4,10,0.714,9,1.2,4,2.9,8,4.1,7,3.0,2,2.1,8,0.8,7,0.7,3,0.7,10,1.8,8,5.4,10,10.4,10,0.615,3,0.729,1,0.085,10,5.4,3,13.9,6,9.6,5,10.5,8,1.6,4,2.3,3,13.5,3,8.7,10,1.6,6,1.5,7,3.1,7,0.1,5,-1.2,8,0.7,3,-0.4,7,0.6,7,19.2,1,0.19,6,0.036,10,0.028,10,0.016,9,3.5999999999999996,5,53.900000000000006,1,21.5,1
14,14,55,2024,Bradley Beal,5,SG,5,PHO,5,51.0,9,51.0,6,6.9,4,13.7,4,4.4,6,0.416,1,9.3,3,0.547,5,0.572,4,2.1,6,2.6,6,0.809,5,1.0,5,3.3,7,4.3,6,2.0,5,5.0,3,0.9,5,0.5,6,2.5,2,2.4,4,17.8,4,15.6,5,0.598,4,0.322,7,0.187,7,3.7,5,11.3,8,7.7,7,22.5,3,1.4,6,1.3,6,14.3,2,22.8,5,1.7,6,1.5,7,3.2,7,0.092,6,0.4,6,-0.7,7,-0.3,6,0.7,6,13.6,7,0.234,5,0.188,6,0.13,3,0.126,1,3.3000000000000003,6,31.4,3,12.5,3
15,15,56,2024,Malik Beasley,5,SG,5,MIL,5,77.0,2,76.0,1,4.0,8,9.2,8,6.9,2,0.415,1,2.2,10,0.52,7,0.597,2,0.3,10,0.5,10,0.714,9,0.5,9,3.2,7,3.7,8,2.0,5,1.4,10,0.8,7,0.1,10,0.7,10,2.0,7,11.3,8,10.4,10,0.602,4,0.755,1,0.05,10,2.2,8,12.6,8,7.5,8,6.1,10,1.2,8,0.3,10,6.7,10,14.7,9,1.8,6,1.6,6,3.4,6,0.071,8,-1.0,8,-0.8,8,-1.8,8,0.1,8,20.8,1,0.074,10,0.098,10,0.038,9,0.035,7,0.8,9,40.2,2,16.1,2
16,16,66,2024,Saddiq Bey,5,SF,5,ATL,5,63.0,7,51.0,6,4.6,7,11.1,6,5.7,4,0.316,9,5.4,7,0.522,7,0.497,10,2.7,4,3.2,4,0.837,3,2.7,1,3.9,5,6.5,3,1.7,7,1.5,9,0.8,7,0.2,9,0.9,10,1.4,10,13.7,6,13.1,8,0.549,9,0.514,3,0.291,4,9.2,2,14.5,5,11.7,4,6.0,10,1.2,8,0.5,10,6.4,10,17.2,8,2.6,4,0.7,10,3.4,6,0.078,7,0.2,6,-2.0,10,-1.8,8,0.1,8,14.5,6,0.287,3,0.155,8,0.033,9,0.011,9,6.6000000000000005,3,45.300000000000004,1,18.1,1
17,17,75,2024,Bogdan Bogdanović,5,SG,5,ATL,5,77.0,2,31.0,9,6.0,5,14.0,4,8.2,1,0.374,5,5.8,7,0.504,8,0.537,6,1.9,6,2.0,7,0.917,1,0.7,7,2.8,8,3.5,8,2.3,4,3.2,6,1.2,2,0.3,8,1.4,7,2.3,4,16.9,4,14.7,6,0.567,7,0.585,2,0.145,9,2.5,8,11.2,9,6.7,9,15.0,6,2.0,2,1.0,7,8.8,9,22.5,5,2.5,4,1.2,8,3.6,6,0.075,7,0.8,5,-0.7,7,0.2,5,1.3,5,18.4,1,0.124,9,0.145,9,0.095,5,0.051,5,0.8,9,20.3,5,8.1,5
18,18,76,2024,Bojan Bogdanović,5,PF-SF,5,TOT,5,54.0,9,27.0,9,5.5,5,12.1,5,5.9,3,0.396,3,6.2,6,0.511,7,0.551,6,2.1,6,2.7,6,0.786,7,0.4,9,2.3,10,2.7,10,1.0,10,1.8,8,0.5,10,0.1,10,1.8,4,1.8,8,15.4,5,12.5,8,0.582,6,0.488,3,0.223,6,1.8,9,10.7,9,6.2,9,10.5,8,1.0,9,0.3,10,12.2,4,24.7,4,0.1,9,0.7,10,0.8,10,0.029,10,-0.8,8,-2.5,10,-3.3,10,-0.5,10,16.7,3,0.115,9,0.181,6,0.143,2,0.072,4,0.6,9,27.700000000000003,4,11.0,4
19,19,83,2024,Devin Booker,5,PG,5,PHO,5,66.0,7,66.0,4,9.5,1,19.3,1,6.2,3,0.362,6,13.2,1,0.553,5,0.55,6,5.9,1,6.7,1,0.887,1,0.8,6,3.7,6,4.5,6,2.7,2,7.0,1,0.9,5,0.4,7,2.6,2,3.0,1,27.2,1,22.0,1,0.611,3,0.318,7,0.346,2,2.9,7,11.9,8,7.6,7,31.5,1,1.3,7,1.0,7,10.5,7,30.3,1,6.5,1,2.0,5,8.5,1,0.173,1,4.1,1,-1.0,8,3.1,2,3.0,2,15.3,5,0.142,9,0.158,8,0.231,1,0.151,1,1.3,8,7.3999999999999995,9,2.9,9
20,20,93,2024,Mikal Bridges,5,SF,5,BRK,5,80.0,1,80.0,1,7.0,3,16.0,3,7.3,2,0.373,5,8.7,4,0.491,9,0.522,8,3.2,3,4.0,3,0.814,5,0.9,5,3.8,5,4.6,5,1.8,6,3.7,5,1.0,4,0.4,7,2.1,3,1.4,10,19.9,3,15.0,6,0.562,8,0.455,4,0.248,5,2.7,7,13.1,7,7.7,7,16.3,5,1.5,5,0.9,8,10.4,7,24.6,4,1.7,6,2.2,4,3.9,5,0.067,8,0.8,5,-1.0,8,-0.3,6,1.2,5,15.9,4,0.166,8,0.164,7,0.159,2,0.056,5,1.6,8,33.7,3,13.4,3
21,21,94,2024,Miles Bridges,5,SF,5,CHO,5,68.0,6,66.0,4,8.2,2,17.7,2,6.6,3,0.35,7,11.1,2,0.528,6,0.527,7,2.6,4,3.1,5,0.825,4,1.0,5,6.3,2,7.4,2,1.7,7,3.4,5,1.0,4,0.5,6,2.0,4,1.7,9,21.3,2,15.5,6,0.556,8,0.372,6,0.175,8,3.2,6,20.7,3,11.7,4,14.5,6,1.3,7,1.2,7,9.5,8,24.9,4,0.4,9,1.6,6,2.0,9,0.037,10,0.2,6,-1.3,9,-1.1,8,0.6,7,13.6,7,0.284,3,0.206,5,0.058,8,0.08,3,5.800000000000001,4,19.6,6,7.8,6
22,22,97,2024,Malcolm Brogdon,5,PG,5,POR,5,39.0,10,25.0,9,5.6,5,12.7,5,5.1,5,0.412,2,7.6,5,0.458,10,0.522,8,2.4,5,3.0,5,0.819,5,0.7,7,3.1,7,3.8,7,3.7,1,5.5,2,0.7,8,0.2,9,1.5,6,1.5,9,15.7,5,17.0,4,0.56,8,0.401,6,0.234,5,2.8,7,13.7,6,7.9,7,30.8,1,1.2,8,0.6,9,9.9,8,23.2,5,1.8,6,0.7,10,2.5,8,0.106,5,2.7,2,-0.7,7,2.0,3,1.1,5,15.4,5,0.206,6,0.157,8,0.117,3,0.119,2,0.2,10,12.1,8,4.8,8
23,23,99,2024,Dillon Brooks,5,SF,5,HOU,5,70.0,5,70.0,3,4.6,7,10.6,6,5.1,5,0.367,6,5.5,7,0.492,9,0.52,8,1.8,7,2.1,7,0.844,3,0.7,7,2.7,9,3.4,9,1.4,9,1.7,9,0.9,5,0.1,10,1.2,8,3.3,1,12.8,7,9.6,10,0.555,8,0.484,3,0.198,7,2.5,8,10.0,9,6.2,9,7.6,9,1.4,6,0.4,10,9.6,8,17.7,7,0.5,9,2.1,5,2.6,8,0.058,9,-3.1,10,-0.2,5,-3.3,10,-0.7,10,15.7,4,0.176,7,0.223,4,0.082,6,0.035,7,2.1999999999999997,7,15.6,7,6.2,7
24,24,100,2024,Bruce Brown,5,SG-PG,5,TOT,5,65.0,7,44.0,7,4.2,8,8.8,8,2.5,9,0.317,9,6.3,6,0.534,6,0.518,8,1.8,7,2.1,7,0.827,4,0.8,6,3.5,6,4.3,6,2.2,4,2.9,6,0.9,5,0.3,8,1.3,7,2.2,5,10.9,8,11.6,9,0.558,8,0.282,8,0.243,5,3.5,6,15.2,5,9.3,5,13.2,7,1.6,4,0.8,8,11.6,5,16.7,8,0.9,8,1.1,9,2.0,9,0.053,9,-2.4,10,-1.0,8,-3.4,10,-0.6,10,11.6,8,0.245,4,0.287,2,0.147,2,0.039,6,2.1,7,39.800000000000004,2,15.8,2
25,25,105,2024,Jaylen Brown,5,SF,5,BOS,5,69.0,5,69.0,3,9.0,1,18.0,2,5.9,3,0.356,7,12.1,2,0.571,3,0.558,5,3.0,4,4.3,3,0.704,9,1.2,4,4.4,4,5.6,4,1.5,8,3.6,5,1.2,2,0.5,6,2.4,3,2.6,3,23.1,2,18.7,3,0.581,6,0.326,7,0.239,5,4.3,5,14.2,6,9.4,5,16.9,5,1.8,3,1.3,6,10.6,6,29.0,2,2.3,5,3.4,1,5.7,3,0.119,4,1.0,4,-0.1,5,0.9,4,1.7,4,13.1,7,0.245,4,0.239,4,0.12,3,0.07,4,7.3999999999999995,3,20.5,5,8.1,5
26,26,112,2024,Jalen Brunson,5,PG,5,NYK,5,74.0,3,74.0,2,10.1,1,21.2,1,6.8,2,0.399,3,14.4,1,0.516,7,0.542,6,5.4,1,6.4,1,0.846,3,0.6,8,3.1,7,3.6,8,2.8,2,6.7,1,0.9,5,0.2,9,2.4,3,1.9,7,28.4,1,23.0,1,0.591,5,0.321,7,0.301,3,1.9,8,10.6,9,6.2,9,33.3,1,1.4,6,0.5,10,9.2,8,32.5,1,8.1,1,2.3,4,10.3,1,0.19,1,6.0,1,-0.4,6,5.6,1,5.1,1,14.3,6,0.126,9,0.275,3,0.189,1,0.089,3,0.2,10,13.5,7,5.3,7
27,27,121,2024,Jimmy Butler,5,PF,5,MIA,5,58.0,8,58.0,5,6.6,4,13.4,4,2.5,9,0.406,2,10.9,2,0.516,7,0.533,7,6.7,1,7.8,1,0.863,2,1.7,3,3.6,6,5.3,4,2.9,2,4.9,3,1.4,1,0.3,8,1.7,5,1.2,10,21.0,3,21.8,2,0.624,2,0.184,9,0.58,1,6.2,3,13.2,6,9.7,5,22.9,3,2.0,2,0.8,8,9.4,8,24.4,4,5.8,1,2.5,3,8.4,1,0.202,1,3.8,2,0.8,3,4.6,1,3.3,2,9.8,9,0.265,4,0.354,1,0.14,3,0.057,5,5.800000000000001,4,47.599999999999994,1,19.0,1
28,28,123,2024,Kentavious Caldwell-Pope,5,SG,5,DEN,5,74.0,3,74.0,2,3.6,9,7.8,9,4.1,7,0.407,2,3.7,9,0.513,7,0.564,4,1.4,8,1.5,8,0.902,1,0.4,9,2.0,10,2.4,10,2.4,3,2.4,7,1.3,1,0.6,4,1.0,9,2.0,7,10.1,9,10.7,10,0.601,4,0.525,3,0.195,7,1.7,9,7.6,10,4.7,10,9.5,8,2.1,1,1.5,6,10.5,7,13.1,10,2.1,5,2.4,4,4.4,5,0.091,6,-2.1,10,0.8,3,-1.4,8,0.4,8,17.2,3,0.176,7,0.087,10,0.085,6,0.127,1,1.9,7,37.4,2,14.9,2
29,29,124,2024,Toumani Camara,5,PF,5,POR,5,70.0,5,49.0,7,2.8,10,6.3,10,2.5,9,0.337,8,3.8,9,0.523,7,0.516,9,1.1,9,1.4,9,0.758,8,2.0,2,2.9,8,4.9,5,1.0,10,1.2,10,0.9,5,0.5,6,1.2,8,2.5,3,7.5,10,10.6,10,0.547,9,0.393,6,0.226,6,8.9,2,15.0,5,11.8,3,7.1,10,1.9,2,1.7,5,14.9,2,14.0,10,0.4,9,1.6,6,1.9,9,0.054,9,-3.0,10,-0.1,5,-3.1,10,-0.5,10,11.6,8,0.352,2,0.224,4,0.023,10,0.009,10,6.800000000000001,3,44.800000000000004,1,17.9,1
30,30,125,2024,Clint Capela,5,C,5,ATL,5,72.0,4,72.0,3,4.8,7,8.5,8,0.0,10,0.0,10,8.5,4,0.57,3,0.569,4,1.8,7,2.8,5,0.632,10,4.6,1,6.0,2,10.6,1,1.2,9,1.2,10,0.6,9,1.5,1,1.0,9,2.3,4,11.4,8,20.6,2,0.588,5,0.002,10,0.334,2,20.3,1,28.6,1,24.3,1,6.7,10,1.1,9,5.1,1,9.4,8,17.5,7,4.0,3,1.9,5,6.0,3,0.154,2,1.0,4,-1.1,9,-0.1,6,0.9,6,2.5,10,0.693,1,0.29,2,0.011,10,0.003,10,25.4,1,0.0,10,0.3,10
31,31,127,2024,Wendell Carter Jr.,5,C,5,ORL,5,53.0,9,47.0,7,4.1,8,7.9,9,3.2,8,0.373,5,4.7,8,0.62,1,0.595,2,1.8,7,2.5,6,0.694,9,2.1,2,5.1,3,7.2,3,1.4,9,1.8,8,0.7,8,0.5,6,1.3,7,2.2,5,11.2,8,15.8,5,0.619,2,0.403,5,0.32,3,9.8,1,24.4,2,17.0,2,10.1,8,1.3,7,1.9,4,12.5,4,17.3,8,1.9,6,2.2,4,4.1,5,0.143,3,0.4,6,0.4,4,0.8,5,1.0,6,12.6,8,0.329,2,0.191,6,0.06,8,0.017,8,18.099999999999998,1,41.4,2,16.5,2
32,32,129,2024,Alex Caruso,5,SG,5,CHI,5,69.0,5,55.0,6,3.6,9,7.6,9,4.7,6,0.406,2,2.9,10,0.559,4,0.59,2,1.0,9,1.3,9,0.761,7,0.9,5,2.9,8,3.8,7,2.4,3,3.3,6,1.6,1,1.0,2,1.4,7,2.6,3,10.0,9,14.3,7,0.61,3,0.617,1,0.175,8,3.6,5,12.6,8,8.0,7,15.9,5,2.9,1,3.7,2,14.6,2,15.0,9,1.9,6,2.5,3,4.4,5,0.109,4,0.1,6,2.2,1,2.3,3,2.1,3,17.1,3,0.218,5,0.112,10,0.023,10,0.03,7,3.2,6,35.699999999999996,2,14.2,2
33,33,137,2024,Jordan Clarkson,5,SG,5,UTA,5,55.0,9,19.0,10,6.1,5,14.8,4,5.6,4,0.294,9,9.2,3,0.485,9,0.469,10,3.2,3,3.7,3,0.881,1,0.9,5,2.5,9,3.4,9,1.9,6,5.0,3,0.6,9,0.1,10,2.7,2,1.5,9,17.1,4,12.6,8,0.521,10,0.379,6,0.246,5,3.5,6,9.6,10,6.6,9,24.7,3,1.0,9,0.3,10,13.9,2,26.3,3,-0.1,10,0.2,10,0.0,10,0.001,10,-1.4,9,-3.2,10,-4.5,10,-1.1,10,14.9,5,0.113,10,0.339,1,0.125,3,0.044,6,1.7000000000000002,8,13.3,7,5.3,7
34,34,138,2024,Nic Claxton,5,C,5,BRK,5,69.0,5,69.0,3,5.2,6,8.2,9,0.1,10,0.2,10,8.2,4,0.636,1,0.633,1,1.6,7,2.8,5,0.557,10,2.7,1,7.2,1,9.9,1,1.6,8,2.1,8,0.7,8,2.1,1,1.3,7,2.4,4,12.0,7,18.8,3,0.633,2,0.009,10,0.338,2,10.3,1,29.4,1,19.5,1,10.4,8,1.1,9,6.3,1,12.0,4,15.7,9,3.2,3,3.3,2,6.5,2,0.152,2,-0.2,7,1.5,2,1.4,4,1.8,4,3.6,10,0.599,1,0.333,1,0.051,8,0.009,10,32.7,1,80.0,1,31.9,1
35,35,142,2024,John Collins,5,PF,5,UTA,5,68.0,6,66.0,4,5.8,5,11.0,6,3.4,8,0.371,5,7.6,5,0.605,2,0.59,2,2.2,5,2.7,6,0.795,6,2.3,2,6.1,2,8.5,2,0.8,10,1.1,10,0.6,9,0.9,2,1.4,7,2.8,2,15.1,5,17.4,4,0.621,2,0.311,8,0.248,5,9.8,1,25.6,2,17.8,2,6.1,10,1.0,9,2.9,2,10.6,6,20.5,6,2.8,4,1.4,8,4.2,5,0.107,5,0.5,5,-1.4,9,-1.0,7,0.5,7,11.0,9,0.303,2,0.304,2,0.043,9,0.039,6,15.0,2,43.1,1,17.2,1
36,36,144,2024,Mike Conley,5,PG,5,MIN,5,74.0,3,74.0,2,3.8,9,8.5,8,5.3,4,0.439,1,3.1,10,0.478,9,0.592,2,1.3,8,1.5,8,0.907,1,0.5,9,2.3,10,2.8,10,4.5,1,5.9,2,1.1,3,0.2,9,1.3,7,1.7,9,11.3,8,15.6,5,0.623,2,0.629,1,0.173,8,2.1,8,9.6,10,6.1,10,28.3,2,2.0,2,0.6,9,12.6,4,16.1,9,4.6,2,3.1,2,7.7,2,0.174,1,1.9,3,1.4,2,3.2,2,2.8,2,18.8,1,0.083,10,0.161,7,0.089,5,0.037,7,0.0,10,22.8,5,9.1,5
