,index,Player,Pos,Offensive Profile,Defensive Profile,Team,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,std_areas_FGA
122,122.0,Damian Lillard,PG,Creator/Facilitator,No significant defensive role,POR,29.0,7.7,19.0,9.8,0.32,9.2,0.48,0.49,5.5,6.2,0.88,0.4,3.7,4.1,7.3,0.6,0.4,2.5,2.9,1.3,24.0,18.5,0.55,0.51,0.33,1.3,11.6,6.2,34.0,0.8,1.0,11.6,29.3,1.7,0.1,1.7,0.08,4.0,-2.7,1.3,0.9,17.9,23.9,7.1,7.3999999999999995,10.100000000000001,51.5,16.9
123,123.0,Nassir Little,SF,No significant offensive role,No significant defensive role,POR,23.0,3.5,7.5,3.7,0.33,3.8,0.58,0.54,1.6,2.2,0.73,1.4,4.2,5.6,1.3,0.6,0.9,1.3,1.0,2.0,9.8,13.5,0.57,0.49,0.3,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,1.2,0.6,1.7,0.08,-0.9,-0.6,-1.4,0.2,14.9,28.299999999999997,14.000000000000002,3.8,5.1,48.800000000000004,16.8
124,124.0,Kyle Lowry,PG,Pure Shooter/Stretcher,Perimeter Lockdown Defender,MIA,63.0,4.4,10.0,6.1,0.38,3.9,0.54,0.56,2.3,2.8,0.85,0.5,4.0,4.5,7.5,1.1,0.3,2.8,2.7,2.8,13.4,15.0,0.6,0.61,0.28,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.14,1.1,0.8,2.0,2.1,19.8,12.1,9.1,9.1,8.799999999999999,60.900000000000006,20.5
125,125.0,Terance Mann,SF,No significant offensive role,No significant defensive role,LAC,33.0,4.1,8.5,2.6,0.36,6.0,0.54,0.54,1.6,2.0,0.78,1.3,4.0,5.2,2.6,0.7,0.3,2.6,1.0,2.2,10.8,13.4,0.57,0.3,0.24,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16.0,3.1,2.4,5.5,0.11,-0.8,0.2,-0.6,0.8,12.3,31.3,18.0,13.8,6.800000000000001,30.10000000000001,9.4
126,126.0,Lauri Markkanen,SF,No significant offensive role,No significant defensive role,CLE,61.0,5.1,11.5,6.2,0.36,5.3,0.55,0.54,2.3,2.6,0.87,1.0,4.7,5.7,1.3,0.7,0.5,1.4,0.9,2.1,14.8,14.7,0.58,0.54,0.23,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5.0,0.13,0.4,-0.1,0.4,1.1,16.5,22.6,14.399999999999999,6.1,2.8000000000000003,54.1,18.4
127,127.0,Cody Martin,SF,No significant offensive role,Perimeter Lockdown Defender,CHO,11.0,2.9,6.0,2.2,0.38,3.7,0.54,0.55,1.1,1.5,0.7,1.2,2.9,4.0,2.5,1.2,0.5,2.8,0.9,1.6,7.7,12.7,0.58,0.38,0.25,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,2.4,1.5,3.9,0.1,-1.2,0.7,-0.5,0.7,12.1,39.0,13.700000000000001,4.5,5.2,37.599999999999994,15.3
128,128.0,Garrison Mathews,SG,No significant offensive role,No significant defensive role,HOU,33.0,2.8,7.1,5.9,0.36,1.2,0.6,0.55,2.2,2.8,0.79,0.5,2.4,2.9,1.0,0.9,0.4,1.7,0.6,2.6,10.0,11.0,0.6,0.84,0.39,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.08,-1.3,-1.0,-2.3,-0.1,22.5,10.4,4.1000000000000005,0.8999999999999999,0.8999999999999999,83.7,32.0
129,129.0,Tyrese Maxey,PG,Versatile Scorer,No significant defensive role,PHI,74.0,6.4,13.3,4.1,0.43,9.1,0.51,0.55,2.8,3.3,0.87,0.3,2.9,3.2,4.3,0.7,0.4,3.6,1.2,2.1,17.5,16.2,0.59,0.31,0.25,1.1,8.9,5.1,19.1,1.0,1.1,7.4,20.2,5.4,1.9,7.3,0.13,1.3,-0.7,0.6,1.8,12.9,25.8,23.7,12.1,7.3,31.099999999999994,8.9
130,130.0,CJ McCollum,SG-PG,Creator/Facilitator,No significant defensive role,TOT,62.0,8.6,18.8,7.6,0.39,11.2,0.51,0.54,1.9,2.7,0.68,0.9,3.5,4.3,5.1,1.1,0.4,2.6,2.0,2.0,22.1,18.3,0.55,0.4,0.15,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.08,3.2,-1.3,1.9,2.1,16.2,12.7,18.3,16.2,12.5,40.3,10.4
131,131.0,CJ McCollum,SG-PG,Creator/Facilitator,No significant defensive role,TOT,62.0,8.6,18.8,7.6,0.39,11.2,0.51,0.54,1.9,2.7,0.68,0.9,3.5,4.3,5.1,1.1,0.4,2.6,2.0,2.0,22.1,18.3,0.55,0.4,0.15,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.08,3.2,-1.3,1.9,2.1,16.7,12.6,16.5,15.5,11.899999999999999,43.5,11.9
132,132.0,CJ McCollum,SG-PG,Creator/Facilitator,No significant defensive role,TOT,62.0,8.6,18.8,7.6,0.39,11.2,0.51,0.54,1.9,2.7,0.68,0.9,3.5,4.3,5.1,1.1,0.4,2.6,2.0,2.0,22.1,18.3,0.55,0.4,0.15,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.08,3.2,-1.3,1.9,2.1,15.6,12.8,20.599999999999998,17.2,13.200000000000001,36.2,8.6
133,133.0,T.J. McConnell,PG,No significant offensive role,Perimeter Lockdown Defender,IND,8.0,3.7,7.7,1.2,0.3,6.5,0.51,0.5,0.7,0.9,0.83,0.7,2.6,3.3,4.9,1.1,0.4,4.5,1.1,2.0,8.5,15.1,0.52,0.16,0.11,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1.0,0.4,1.3,0.1,-0.4,1.4,0.9,0.5,10.0,27.400000000000002,33.2,17.299999999999997,6.3,15.799999999999997,9.4
134,134.0,Jaden McDaniels,PF,No significant offensive role,No significant defensive role,MIN,31.0,3.6,7.9,3.6,0.32,4.3,0.58,0.53,0.8,1.0,0.8,1.1,3.1,4.2,1.1,0.7,0.8,1.0,1.1,3.2,9.2,10.3,0.55,0.46,0.13,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.06,-2.9,-0.1,-2.9,-0.4,13.8,28.299999999999997,17.9,5.4,2.9000000000000004,45.50000000000001,15.7
135,135.0,Doug McDermott,PF,Pure Shooter/Stretcher,No significant defensive role,SAS,51.0,4.2,9.1,5.0,0.42,4.1,0.51,0.58,0.8,1.0,0.78,0.4,1.9,2.3,1.3,0.3,0.1,1.6,0.8,1.5,11.3,11.4,0.59,0.55,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.06,-0.4,-2.1,-2.5,-0.1,,,,,,100,0.0
136,136.0,Khris Middleton,SF,Creator/Facilitator,No significant defensive role,MIL,66.0,6.8,15.5,6.6,0.37,8.9,0.49,0.52,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,1.9,2.9,2.4,20.1,18.1,0.58,0.42,0.28,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.12,1.9,-0.3,1.6,1.9,17.3,10.4,14.000000000000002,18.9,14.2,42.5,11.6
137,137.0,Patty Mills,SG,Pure Shooter/Stretcher,No significant defensive role,BRK,48.0,4.0,9.8,7.0,0.4,2.8,0.43,0.55,0.6,0.7,0.81,0.2,1.7,1.9,2.3,0.6,0.2,2.6,0.9,1.4,11.4,10.4,0.56,0.72,0.07,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,1.9,0.9,2.8,0.06,-0.3,-1.4,-1.7,0.2,21.4,6.4,3.6999999999999997,6.5,11.799999999999999,71.6,25.9
138,138.0,Davion Mitchell,PG,No significant offensive role,No significant defensive role,SAC,19.0,4.7,11.2,4.3,0.32,7.0,0.48,0.48,0.7,1.1,0.66,0.4,1.8,2.2,4.2,0.7,0.3,2.8,1.5,1.9,11.5,10.8,0.49,0.38,0.1,1.7,7.0,4.4,22.5,1.3,1.0,11.5,20.6,-0.5,0.6,0.1,0.0,-2.1,-1.7,-3.8,-0.9,15.6,18.9,15.4,10.8,17.0,37.900000000000006,9.3
139,139.0,Donovan Mitchell,SG,Creator/Facilitator,No significant defensive role,UTA,67.0,9.2,20.5,9.8,0.36,10.8,0.53,0.53,4.0,4.7,0.85,0.8,3.4,4.2,5.3,1.5,0.2,1.8,3.0,2.4,25.9,21.6,0.57,0.48,0.23,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,0.15,4.6,-0.3,4.3,3.6,16.7,14.000000000000002,23.599999999999998,7.7,7.199999999999999,47.5,15.0
140,140.0,Evan Mobley,PF,Slasher,No significant defensive role,CLE,69.0,6.1,12.0,1.3,0.25,10.7,0.54,0.52,2.4,3.7,0.66,2.1,6.2,8.3,2.5,0.8,1.7,1.3,1.9,2.1,15.0,16.1,0.55,0.11,0.3,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.11,-0.9,1.5,0.6,1.5,8.4,36.4,30.7,14.299999999999999,7.5,11.100000000000009,11.4
141,141.0,Malik Monk,SG,No significant offensive role,No significant defensive role,LAL,37.0,5.1,10.9,5.8,0.39,5.1,0.57,0.58,1.2,1.5,0.8,0.5,2.9,3.4,2.9,0.8,0.4,1.8,1.6,1.8,13.8,14.4,0.6,0.54,0.14,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.08,0.5,-1.0,-0.5,0.8,16.3,22.900000000000002,16.2,3.4000000000000004,4.0,53.5,18.3
142,142.0,Ja Morant,PG,Creator/Facilitator,No significant defensive role,MEM,57.0,10.2,20.6,4.5,0.34,16.2,0.53,0.53,5.5,7.3,0.76,1.4,4.4,5.7,6.7,1.2,0.4,2.0,3.4,1.5,27.4,24.4,0.57,0.22,0.35,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,4.6,2.1,6.7,0.17,6.2,-0.1,6.1,3.9,10.3,33.2,29.099999999999998,13.5,2.5,21.700000000000003,11.0
143,143.0,Marcus Morris,PF,Versatile Scorer,No significant defensive role,LAC,54.0,5.6,12.8,5.1,0.37,7.7,0.48,0.51,2.4,2.7,0.87,0.5,3.9,4.4,2.1,0.5,0.3,1.6,1.3,2.1,15.4,13.7,0.55,0.4,0.21,1.8,14.0,8.1,11.3,0.9,1.0,8.4,23.2,0.9,1.5,2.4,0.07,-0.3,-1.0,-1.4,0.3,17.6,4.6,14.499999999999998,24.0,17.1,39.800000000000004,11.7
144,144.0,Monte Morris,PG,No significant offensive role,No significant defensive role,DEN,74.0,5.0,10.3,4.2,0.4,6.1,0.55,0.56,1.0,1.1,0.87,0.4,2.7,3.0,4.4,0.7,0.2,4.4,1.0,1.2,12.6,14.7,0.58,0.41,0.11,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,0.12,0.8,-0.8,0.0,1.1,16.1,15.5,13.700000000000001,13.200000000000001,16.900000000000002,40.69999999999999,10.4
145,145.0,Dejounte Murray,PG,Creator/Facilitator,Perimeter Lockdown Defender,SAS,68.0,8.4,18.3,4.3,0.33,13.9,0.5,0.5,2.9,3.6,0.79,1.2,7.1,8.3,9.2,2.0,0.3,3.5,2.6,2.0,21.1,22.3,0.53,0.24,0.2,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,0.15,3.7,1.7,5.4,4.4,12.7,21.4,20.599999999999998,22.6,11.600000000000001,23.80000000000001,4.3
146,146.0,Jusuf Nurkić,C,Slasher,Paint Protector/Rim Defender,POR,56.0,5.7,10.7,1.0,0.27,9.7,0.56,0.55,3.3,4.8,0.69,3.0,8.1,11.1,2.8,1.1,0.6,1.1,2.6,3.4,15.0,20.0,0.59,0.09,0.45,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,2.0,1.7,3.6,0.11,0.1,0.2,0.3,0.9,5.9,49.0,35.0,3.0,3.6999999999999997,9.299999999999997,18.6
147,147.0,Royce O'Neale,SF,Pure Shooter/Stretcher,Perimeter Lockdown Defender,UTA,77.0,2.6,5.8,4.0,0.39,1.8,0.61,0.59,0.6,0.7,0.8,0.8,3.9,4.8,2.5,1.1,0.4,2.5,1.0,2.4,7.4,10.3,0.61,0.69,0.13,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,2.7,2.8,5.5,0.11,-0.8,1.7,0.8,1.7,18.7,19.400000000000002,10.6,1.0999999999999999,0.0,68.9,25.4
148,148.0,Chuma Okeke,PF,No significant offensive role,Perimeter Lockdown Defender,ORL,20.0,3.1,8.2,5.3,0.32,2.9,0.48,0.48,0.8,0.9,0.85,0.7,4.3,5.0,1.7,1.4,0.6,2.1,0.8,1.4,8.6,12.0,0.5,0.64,0.11,2.8,18.2,10.5,10.1,2.7,2.2,8.6,16.4,-0.3,2.5,2.2,0.06,-1.6,1.5,-0.1,0.8,18.6,13.700000000000001,13.900000000000002,4.5,3.3000000000000003,64.6,22.7
149,149.0,Isaac Okoro,SF,No significant offensive role,No significant defensive role,CLE,61.0,3.1,6.4,2.3,0.35,4.1,0.56,0.54,1.8,2.3,0.77,1.1,1.9,3.0,1.8,0.8,0.3,2.0,0.9,2.4,8.8,10.4,0.59,0.36,0.36,4.1,7.1,5.6,8.5,1.4,1.0,10.4,12.4,2.4,1.9,4.2,0.1,-2.4,0.7,-1.7,0.1,10.4,48.699999999999996,12.3,0.8999999999999999,1.6,36.5,19.3
150,150.0,Kelly Oubre Jr.,SF,No significant offensive role,No significant defensive role,CHO,13.0,5.4,12.3,7.3,0.34,5.0,0.58,0.54,1.7,2.5,0.67,1.0,2.9,4.0,1.1,1.0,0.4,1.2,0.9,2.5,15.0,14.9,0.56,0.59,0.2,4.1,12.0,8.0,6.2,1.8,1.5,6.2,23.0,1.8,1.4,3.3,0.08,0.2,-1.6,-1.4,0.3,16.9,23.1,12.1,4.2,1.3,59.3,21.1
151,151.0,Chris Paul,PG,No significant offensive role,Perimeter Lockdown Defender,PHO,65.0,5.6,11.3,3.1,0.32,8.3,0.56,0.54,2.6,3.1,0.84,0.3,4.0,4.4,10.8,1.9,0.3,4.5,2.4,2.1,14.7,20.8,0.58,0.27,0.27,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,16.4,3.4000000000000004,15.8,34.599999999999994,19.2,27.0,10.5
152,152.0,Mason Plumlee,C,Paint Threat,Perimeter Lockdown Defender,CHO,73.0,2.8,4.4,0.0,0.0,4.4,0.64,0.64,0.9,2.3,0.39,2.4,5.3,7.7,3.1,0.8,0.7,2.2,1.4,3.1,6.5,14.7,0.6,0.01,0.53,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,2.7,2.0,4.7,0.13,-1.5,1.5,0.0,0.9,3.1,68.10000000000001,26.6,4.3999999999999995,0.3,0.5999999999999801,25.9
