,index,Player,Pos,Team,Team ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,AST/TOV,AST/TOV ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
32,32.0,Saddiq Bey,SF,ATL,5,7.0,10,4.3,7,9.2,7,5.0,5,0.4,2,4.2,9,0.55,5,0.58,3,1.0,9,1.2,9,0.86,3,1.6,3,3.2,7,4.8,5,1.4,10,0.8,7,0.0,10,2.0,5,0.7,10,1.5,10,11.6,7,15.2,6,0.6,4,0.54,2,0.13,9,6.7,3,14.3,5,10.4,4,7.2,9,1.5,5,0.1,10,6.5,10,17.4,7,1.1,8,0.5,10,1.6,9,0.12,5,1.7,3,-1.2,9,0.5,6,0.4,8,15.9,4,20.3,6,20.1,5,6.1,7,5.1,5,48.39999999999999,4,15.6,5
33,33.0,Saddiq Bey,SF,ATL,5,7.0,10,4.3,7,9.2,7,5.0,5,0.4,2,4.2,9,0.55,5,0.58,3,1.0,9,1.2,9,0.86,3,1.6,3,3.2,7,4.8,5,1.4,10,0.8,7,0.0,10,2.0,5,0.7,10,1.5,10,11.6,7,15.2,6,0.6,4,0.54,2,0.13,9,6.7,3,14.3,5,10.4,4,7.2,9,1.5,5,0.1,10,6.5,10,17.4,7,1.1,8,0.5,10,1.6,9,0.12,5,1.7,3,-1.2,9,0.5,6,0.4,8,14.8,5,25.7,4,11.3,9,2.1999999999999997,9,4.3,6,56.5,2,20.0,2
34,34.0,Bogdan Bogdanović,SG,ATL,5,9.0,10,5.1,6,11.3,5,6.7,2,0.41,1,4.6,8,0.51,7,0.57,4,1.2,8,1.4,9,0.83,4,0.4,9,2.6,9,3.1,9,2.8,6,0.8,7,0.3,7,2.3,4,1.2,8,1.6,9,14.0,6,14.2,7,0.59,5,0.59,2,0.13,9,1.6,9,10.4,8,6.0,9,13.4,6,1.4,6,1.0,6,9.2,8,19.8,6,1.8,6,1.0,8,2.8,7,0.09,7,1.1,4,-0.7,8,0.5,6,0.9,6,18.8,1,8.7,10,9.8,10,13.100000000000001,3,9.0,3,59.4,2,19.8,3
35,35.0,Bojan Bogdanović,PF,DET,5,59.0,5,7.3,3,14.9,3,6.0,3,0.41,1,9.0,3,0.54,5,0.57,4,4.5,2,5.1,2,0.88,2,0.6,8,3.2,7,3.8,8,2.6,7,0.6,9,0.1,10,1.1,10,2.3,3,1.9,8,21.6,2,17.4,4,0.63,2,0.4,6,0.34,3,2.0,8,11.3,8,6.5,8,13.6,6,0.9,10,0.4,10,11.7,6,25.9,3,3.1,4,0.4,10,3.5,6,0.09,7,2.6,2,-1.8,10,0.8,5,1.4,4,15.2,5,14.399999999999999,8,21.4,4,16.900000000000002,2,7.3,4,40.0,6,11.0,8
36,36.0,Devin Booker,SG,PHO,5,53.0,6,9.9,1,20.1,1,6.0,3,0.35,6,14.2,1,0.55,5,0.55,6,5.8,1,6.8,1,0.86,3,0.9,6,3.7,5,4.5,6,5.5,2,1.0,4,0.3,7,2.0,5,2.7,2,3.0,1,27.8,1,22.0,2,0.6,4,0.3,8,0.34,3,2.7,7,12.0,7,7.2,7,27.3,2,1.4,6,0.9,7,10.6,7,31.8,1,4.2,2,1.9,5,6.0,3,0.16,2,4.5,1,-0.3,6,4.2,1,2.9,2,14.5,6,15.6,8,20.200000000000003,5,20.4,1,14.2,1,29.599999999999994,8,5.4,10
37,37.0,Mikal Bridges,SF-SG,TOT,5,83.0,1,7.1,3,15.3,3,5.3,4,0.38,3,9.9,3,0.51,7,0.54,6,3.8,3,4.3,3,0.9,1,1.0,5,3.4,6,4.4,6,3.3,5,1.1,3,0.7,3,2.2,4,1.5,6,1.9,8,20.1,3,16.8,4,0.59,5,0.35,7,0.28,5,2.9,6,10.8,8,6.8,8,13.7,6,1.5,5,1.8,3,8.2,9,22.6,4,4.4,2,3.1,1,7.5,2,0.12,5,1.5,4,0.2,5,1.7,4,2.8,2,14.5,6,17.0,7,17.599999999999998,7,22.7,1,7.8,3,34.900000000000006,7,8.9,9
38,38.0,Mikal Bridges,SF-SG,TOT,5,83.0,1,7.1,3,15.3,3,5.3,4,0.38,3,9.9,3,0.51,7,0.54,6,3.8,3,4.3,3,0.9,1,1.0,5,3.4,6,4.4,6,3.3,5,1.1,3,0.7,3,2.2,4,1.5,6,1.9,8,20.1,3,16.8,4,0.59,5,0.35,7,0.28,5,2.9,6,10.8,8,6.8,8,13.7,6,1.5,5,1.8,3,8.2,9,22.6,4,4.4,2,3.1,1,7.5,2,0.12,5,1.5,4,0.2,5,1.7,4,2.8,2,14.1,6,18.5,6,17.7,7,22.400000000000002,1,7.3,4,34.099999999999994,7,8.6,10
39,39.0,Mikal Bridges,SF-SG,TOT,5,83.0,1,7.1,3,15.3,3,5.3,4,0.38,3,9.9,3,0.51,7,0.54,6,3.8,3,4.3,3,0.9,1,1.0,5,3.4,6,4.4,6,3.3,5,1.1,3,0.7,3,2.2,4,1.5,6,1.9,8,20.1,3,16.8,4,0.59,5,0.35,7,0.28,5,2.9,6,10.8,8,6.8,8,13.7,6,1.5,5,1.8,3,8.2,9,22.6,4,4.4,2,3.1,1,7.5,2,0.12,5,1.5,4,0.2,5,1.7,4,2.8,2,15.1,5,14.7,8,17.5,7,23.3,1,8.5,3,36.0,6,9.3,9
40,40.0,Mikal Bridges,SF,PHO,5,56.0,5,6.3,4,13.6,4,4.7,6,0.39,3,9.0,3,0.5,8,0.53,7,2.8,4,3.1,5,0.9,1,1.0,5,3.3,7,4.3,7,3.6,5,1.2,2,0.8,2,2.6,2,1.4,7,2.1,7,17.2,4,14.8,6,0.57,7,0.34,7,0.23,7,3.0,6,10.4,8,6.6,8,14.1,6,1.6,4,2.0,3,8.5,9,19.2,6,2.7,4,2.2,4,4.9,4,0.12,5,0.4,6,0.6,4,1.0,4,1.6,4,14.5,6,17.0,7,17.599999999999998,7,22.7,1,7.8,3,34.900000000000006,7,8.9,9
41,41.0,Mikal Bridges,SF,PHO,5,56.0,5,6.3,4,13.6,4,4.7,6,0.39,3,9.0,3,0.5,8,0.53,7,2.8,4,3.1,5,0.9,1,1.0,5,3.3,7,4.3,7,3.6,5,1.2,2,0.8,2,2.6,2,1.4,7,2.1,7,17.2,4,14.8,6,0.57,7,0.34,7,0.23,7,3.0,6,10.4,8,6.6,8,14.1,6,1.6,4,2.0,3,8.5,9,19.2,6,2.7,4,2.2,4,4.9,4,0.12,5,0.4,6,0.6,4,1.0,4,1.6,4,14.1,6,18.5,6,17.7,7,22.400000000000002,1,7.3,4,34.099999999999994,7,8.6,10
